firstname,lastname,birthdate,team,weight,length,cob,hll,mtn,gc,itt,spr,maxcob,maxhll,maxmtn,maxgc,maxitt,maxspr,happyness,form,salary,contract,recovery,injury,media,flt,maxflt,or_,maxor,ttl,maxttl,tts,maxtts
Mathieu,van der Poel,01/06/1995,alpecin-premier-tech,75,184,99,93,61,63,62,85,99,94,62,64,63,86,75,80,920000,2027,72,null,87,97,98,98,99,55,56,65,66
Jasper,Philipsen,01/06/1998,alpecin-premier-tech,75,176,92,78,44,48,29,99,97,83,49,53,34,99,75,80,750000,2027,72,null,73,93,98,94,99,20,25,40,45
Kaden,Groves,01/06/1999,alpecin-premier-tech,76,176,50,87,36,40,28,92,55,92,41,45,33,97,75,80,640000,2027,72,null,64,81,86,81,86,27,32,26,31
Tibor,Del Grosso,01/06/2004,alpecin-premier-tech,70,190,87,76,36,52,25,77,99,92,52,68,41,93,75,80,870000,2028,72,null,66,76,92,83,99,20,36,32,48
Gerben,Thijssen,01/06/1999,alpecin-premier-tech,74,174,32,55,25,32,20,91,37,60,30,37,25,96,75,80,540000,2027,72,null,55,77,82,86,91,20,25,20,25
Edward,Planckaert,01/06/1995,alpecin-premier-tech,71,178,74,66,40,39,20,69,75,67,41,40,21,70,75,80,560000,2027,72,null,57,60,61,68,69,20,21,20,21
Jensen,Plowright,01/06/2001,alpecin-premier-tech,80,176,24,47,35,33,20,85,32,55,43,41,28,93,75,80,490000,2028,72,null,51,60,68,68,76,20,28,20,28
Francesco,Busatto,01/06/2003,alpecin-premier-tech,62,172,31,79,32,39,20,48,43,91,44,51,32,60,75,80,650000,2028,72,null,52,52,64,83,95,20,32,20,32
Simon,Dehairs,01/06/2002,alpecin-premier-tech,82,192,25,45,27,29,20,82,37,57,39,41,32,94,75,80,480000,2028,72,null,50,62,74,77,89,20,32,20,32
Jonas,Rickaert,01/06/1994,alpecin-premier-tech,88,187,52,41,34,40,39,70,53,42,35,41,40,71,75,80,560000,2027,72,null,57,58,59,66,67,38,39,37,38
Florian,Sénéchal,01/06/1994,alpecin-premier-tech,77,179,57,47,23,33,23,66,58,48,24,34,24,67,75,80,490000,2027,72,null,51,55,56,69,70,23,24,20,21
Hugo,Houle,01/06/1991,alpecin-premier-tech,72,182,38,68,45,42,38,48,38,68,45,42,38,48,75,80,390000,2027,72,null,57,45,45,67,67,30,30,53,53
Johan,Price-Pejtersen,01/06/2000,alpecin-premier-tech,83,191,24,26,22,30,76,30,32,34,30,38,84,38,75,80,540000,2027,72,null,55,54,62,40,48,62,70,89,97
Henri,Uhlig,01/06/2002,alpecin-premier-tech,69,180,31,53,26,34,26,65,43,65,38,46,38,77,75,80,460000,2028,72,null,49,48,60,65,77,20,32,28,40
Gal,Glivar,01/06/2003,alpecin-premier-tech,64,171,24,63,32,42,30,42,36,75,44,54,42,54,75,80,600000,2028,72,null,49,41,53,62,74,20,32,41,53
Luca,Vergallito,01/06/1998,alpecin-premier-tech,67,190,20,60,50,53,26,33,25,65,55,58,31,38,75,80,450000,2027,72,null,48,35,40,55,60,25,30,24,29
Emiel,Verstrynge,01/06/2002,alpecin-premier-tech,69,189,40,61,45,37,32,33,52,73,57,49,44,45,75,80,490000,2028,72,null,51,39,51,61,73,27,39,40,52
Ramses,Debruyne,01/06/2003,alpecin-premier-tech,66,179,28,55,52,36,28,37,40,67,64,48,40,49,75,80,590000,2028,72,null,48,38,50,62,74,29,41,20,32
Sente,Sentjens,01/06/2006,alpecin-premier-tech,85,191,31,34,21,28,20,60,51,54,41,48,40,80,75,80,510000,2028,72,null,43,45,65,56,76,20,40,20,40
Jonas,Geens,01/06/1999,alpecin-premier-tech,78,183,47,47,26,38,29,46,52,52,31,43,34,51,75,80,440000,2027,72,null,47,42,47,52,57,31,36,20,25
Tobias,Bayer,01/06/2000,alpecin-premier-tech,70,187,35,50,29,39,29,42,43,58,37,47,37,50,75,80,430000,2027,72,null,46,39,47,53,61,28,36,20,28
Lindsay,De Vylder,01/06/1996,alpecin-premier-tech,70,183,30,36,21,26,20,55,33,39,24,29,23,58,75,80,370000,2027,72,null,41,42,45,49,52,20,23,20,23
Michael,Gogl,01/06/1994,alpecin-premier-tech,71,186,29,52,27,34,23,32,30,53,28,35,24,33,75,80,380000,2027,72,null,42,34,35,53,54,23,24,20,21
Silvan,Dillier,01/06/1991,alpecin-premier-tech,75,183,47,42,35,41,26,42,47,42,35,41,26,42,75,80,310000,2027,72,null,47,39,39,51,51,25,25,26,26
Maurice,Ballerstedt,01/06/2001,alpecin-premier-tech,81,185,33,35,25,30,23,50,41,43,33,38,31,58,75,80,390000,2028,72,null,43,38,46,51,59,20,28,26,34
Tim,Marsman,01/06/2001,alpecin-premier-tech,75,191,26,35,24,34,38,38,34,43,32,42,46,46,75,80,430000,2028,72,null,46,44,52,46,54,24,32,58,66
Senna,Remijn,01/06/2006,alpecin-premier-tech,68,187,36,48,27,26,20,31,56,68,47,46,40,51,75,80,480000,2028,72,null,41,37,57,46,66,20,40,20,40
Oscar,Riesebeek,01/06/1993,alpecin-premier-tech,78,191,42,36,23,32,20,37,43,37,24,33,21,38,75,80,250000,2027,72,null,40,35,36,41,42,20,21,20,21
Lennert,Belmans,01/06/2002,alpecin-premier-tech,72,189,41,34,25,27,20,35,53,46,37,39,32,47,75,80,360000,2028,72,null,40,37,49,46,58,20,32,20,32
Aaron,Dockx,01/06/2005,alpecin-premier-tech,56,173,35,42,37,31,20,32,51,58,53,47,36,48,75,80,510000,2028,72,null,43,37,53,42,58,20,36,40,56
