firstname,lastname,birthdate,team,weight,length,cob,hll,mtn,gc,itt,spr,maxcob,maxhll,maxmtn,maxgc,maxitt,maxspr,happyness,form,salary,contract,recovery,injury,media,flt,maxflt,or_,maxor,ttl,maxttl,tts,maxtts
Lenny,Martinez,01/06/2004,bahrain-victorious,52,168,20,92,90,83,64,45,36,99,99,99,80,61,75,80,1040000,2028,72,null,77,66,82,90,99,55,71,69,85
Antonio,Tiberi,01/06/2002,bahrain-victorious,62,182,20,87,90,90,83,57,32,99,99,99,95,69,75,80,860000,2028,72,null,82,69,81,71,83,62,74,92,99
Santiago,Buitrago,01/06/2000,bahrain-victorious,59,174,20,90,90,84,64,52,28,98,98,92,72,60,75,80,800000,2027,72,null,77,62,70,88,96,57,65,70,78
Pello,Bilbao,01/06/1990,bahrain-victorious,60,174,55,90,82,80,62,49,55,90,82,80,62,49,75,80,570000,2026,72,null,79,63,63,88,88,48,48,77,77
Alec,Segaert,01/06/2003,bahrain-victorious,79,188,82,65,31,56,85,47,94,77,43,68,97,59,75,80,1070000,2028,72,null,79,80,92,83,95,70,82,93,99
Damiano,Caruso,01/06/1988,bahrain-victorious,67,179,20,70,86,84,53,52,20,70,86,84,53,52,75,80,460000,2026,72,null,65,47,47,40,40,47,47,56,56
Matej,Mohorič,01/06/1995,bahrain-victorious,71,186,76,89,53,63,45,57,77,90,54,64,46,58,75,80,750000,2027,72,null,73,72,73,88,89,37,38,58,59
Edoardo,Zambanini,01/06/2002,bahrain-victorious,62,181,20,89,64,64,34,60,32,99,76,76,46,72,75,80,660000,2028,72,null,65,54,66,88,99,25,37,52,64
Phil,Bauhaus,01/06/1995,bahrain-victorious,75,184,61,52,23,33,20,92,62,53,24,34,21,93,75,80,570000,2027,72,null,58,83,84,82,83,20,21,20,21
Attila,Valter,01/06/1999,bahrain-victorious,65,185,40,83,66,60,49,42,45,88,71,65,54,47,75,80,660000,2027,72,null,65,53,58,83,88,50,55,29,34
Pau,Miquel,01/06/2001,bahrain-victorious,65,180,41,81,47,35,23,64,49,89,55,43,31,72,75,80,570000,2027,72,null,58,57,65,87,95,20,28,26,34
Afonso,Eulalio,01/06/2002,bahrain-victorious,62,174,38,80,60,49,24,41,50,92,72,61,36,53,75,80,540000,2027,72,null,55,43,55,72,84,23,35,20,32
Matevz,Govekar,01/06/2001,bahrain-victorious,73,180,52,56,26,34,32,81,60,64,34,42,40,89,75,80,550000,2027,72,null,56,59,67,68,76,32,40,20,28
Vlad,Van Mechelen,01/06/2005,bahrain-victorious,73,183,60,53,23,35,27,50,76,69,39,51,43,66,75,80,650000,2028,72,null,52,55,71,69,85,20,36,36,52
Alberto,Bruttomesso,01/06/2004,bahrain-victorious,65,179,36,38,22,28,20,68,52,54,38,44,36,84,75,80,560000,2027,72,null,46,50,66,59,75,20,36,20,36
Robert,Stannard,01/06/1999,bahrain-victorious,74,179,53,53,29,41,24,58,58,58,34,46,29,63,75,80,490000,2027,72,null,51,46,51,58,63,23,28,26,31
Nikias,Arndt,01/06/1992,bahrain-victorious,77,187,45,42,27,35,30,63,45,42,27,35,30,63,75,80,330000,2026,72,null,50,48,48,52,52,27,27,34,34
Daniel,Skerl,01/06/2004,bahrain-victorious,80,177,36,33,22,30,20,69,52,49,38,46,36,85,75,80,530000,2027,72,null,44,48,64,42,58,20,36,20,36
Rainer,Kepplinger,01/06/1998,bahrain-victorious,70,179,20,51,48,47,48,30,25,56,53,52,53,35,75,80,500000,2027,72,null,52,41,46,42,47,37,42,65,70
Jakob,Omrzel,01/06/2007,bahrain-victorious,62,185,20,57,45,42,20,29,40,77,65,62,40,49,75,80,530000,2028,72,null,44,38,58,53,73,20,40,20,40
Zak,Erzen,01/06/2006,bahrain-victorious,65,180,35,37,22,27,20,62,55,57,42,47,40,82,75,80,530000,2027,72,null,44,45,65,52,72,20,40,20,40
Kamil,Gradek,01/06/1991,bahrain-victorious,83,194,55,34,24,37,36,44,55,34,24,37,36,44,75,80,310000,2026,72,null,48,43,43,51,51,38,38,23,23
Mathijs,Paasschens,01/06/1997,bahrain-victorious,75,188,36,52,37,40,20,38,39,55,40,43,23,41,75,80,420000,2026,72,null,45,38,41,56,59,20,23,20,23
Alessandro,Borgo,01/06/2005,bahrain-victorious,65,183,42,47,27,31,36,44,58,63,43,47,52,60,75,80,590000,2027,72,null,48,47,63,57,73,36,52,20,36
Roman,Ermakov,01/06/2005,bahrain-victorious,65,180,39,45,28,35,28,30,55,61,44,51,44,46,75,80,560000,2027,72,null,46,38,54,48,64,40,56,36,52
Fran,Miholjević,01/06/2003,bahrain-victorious,72,189,36,40,33,37,20,28,48,52,45,49,32,40,75,80,460000,2027,72,null,40,31,43,41,53,20,32,20,32
Max,Van der Meulen,01/06/2004,bahrain-victorious,67,183,24,40,34,34,20,29,40,56,50,50,36,45,75,80,450000,2027,72,null,39,31,47,38,54,20,36,20,36
Oliver,Stockwell,01/06/2003,bahrain-victorious,65,182,25,34,29,28,20,33,37,46,41,40,32,45,75,80,420000,2027,72,null,37,28,40,38,50,20,32,20,32
