firstname,lastname,birthdate,team,weight,length,cob,hll,mtn,gc,itt,spr,maxcob,maxhll,maxmtn,maxgc,maxitt,maxspr,happyness,form,salary,contract,recovery,injury,media,flt,maxflt,or_,maxor,ttl,maxttl,tts,maxtts
Tobias Lund,Andresen,20/08/2002,decathlon-cma-cgm,69,181,77,83,44,51,20,92,89,95,56,63,32,99,80,85,180000,2027,72,null,65,87,99,91,99,20,32,20,32
Tiesj,Benoot,11/03/1994,decathlon-cma-cgm,72,190,92,92,57,46,25,59,93,93,58,47,26,60,75,78,950000,2027,75,null,70,89,90,93,94,23,24,28,29
Léo,Bisiaux,14/02/2005,decathlon-cma-cgm,58,181,23,67,52,48,32,30,39,83,68,64,48,46,72,70,80000,2027,68,null,55,44,60,61,77,29,45,32,48
Stefan,Bissegger,13/09/1998,decathlon-cma-cgm,78,181,89,54,33,38,88,68,94,59,38,43,93,73,76,80,650000,2027,74,null,68,85,90,86,91,82,87,90,95
Cees,Bol,27/07/1995,decathlon-cma-cgm,83,194,80,63,25,40,33,86,83,66,28,43,36,89,74,72,450000,2027,70,null,62,72,75,85,88,26,29,47,50
Oscar,Chamberlain,15/01/2005,decathlon-cma-cgm,74,194,52,40,22,29,45,41,68,56,38,45,61,57,70,65,70000,2027,65,null,50,46,62,51,67,44,60,20,36
Sander,De Pestel,11/10/1998,decathlon-cma-cgm,74,184,69,52,36,39,52,53,74,57,41,44,57,58,72,68,280000,2027,68,null,52,58,63,67,72,42,47,72,77
Stan,Dewulf,20/12/1997,decathlon-cma-cgm,74,176,64,55,36,49,31,52,69,60,41,54,36,57,74,75,420000,2027,72,null,60,52,57,65,70,20,25,44,49
Felix,Gall,27/02/1998,decathlon-cma-cgm,66,180,20,85,94,91,53,43,25,90,99,96,58,48,78,82,900000,2027,76,null,72,44,49,52,57,37,42,72,77
Pierre,Gautherat,16/01/2003,decathlon-cma-cgm,70,177,83,79,33,36,23,80,95,91,45,48,35,92,70,68,90000,2027,65,null,48,75,87,89,99,20,32,24,36
Robbe,Ghys,11/01/1997,decathlon-cma-cgm,72,182,37,33,23,32,20,51,40,36,26,35,23,54,72,74,320000,2027,70,null,55,46,49,53,56,20,23,20,23
Tord,Gudmestad,08/05/2001,decathlon-cma-cgm,82,188,37,47,27,32,20,82,49,59,39,44,32,94,72,70,120000,2027,68,null,50,55,67,68,80,20,32,20,32
Daan,Hoole,22/02/1999,decathlon-cma-cgm,84,198,78,49,30,41,91,50,83,54,35,46,96,55,70,72,380000,2027,72,null,58,81,86,74,79,90,95,93,98
Noa,Isidore,17/09/2004,decathlon-cma-cgm,67,180,35,60,33,34,31,46,51,76,49,50,47,62,70,68,90000,2027,66,null,52,49,65,66,82,27,43,33,49
Olav,Kooij,17/10/2001,decathlon-cma-cgm,72,184,69,78,29,52,24,95,81,90,41,64,36,99,82,84,1200000,2028,78,null,82,89,99,91,99,20,32,28,40
Antoine,L'Hote,27/02/2006,decathlon-cma-cgm,72,190,31,62,31,35,25,38,51,82,51,55,45,58,70,72,90000,2027,66,null,48,46,66,59,79,20,40,30,50
Jordan,Labrosse,16/09/1990,decathlon-cma-cgm,65,178,52,82,38,36,37,52,64,94,50,48,49,64,70,65,320000,2027,68,null,55,52,64,77,89,20,32,57,69
Paul,Lapeira,25/05/2000,decathlon-cma-cgm,64,176,20,90,52,50,39,64,28,98,60,58,47,72,78,80,480000,2027,74,null,70,65,73,91,99,23,31,61,69
Gregor,Mühlberger,05/02/1994,decathlon-cma-cgm,64,180,28,71,74,70,28,38,29,72,75,71,29,39,72,70,380000,2027,72,null,58,42,43,64,65,26,27,28,29
Oliver,Naesen,16/09/1990,decathlon-cma-cgm,74,184,87,61,39,50,27,74,87,61,39,50,27,74,72,68,420000,2027,70,null,72,71,71,82,82,27,27,20,20
Aurélien,Paret-Peintre,27/02/1996,decathlon-cma-cgm,64,184,67,85,78,73,56,52,70,88,81,76,59,55,74,76,650000,2027,72,null,68,63,66,78,81,51,54,45,48
Rasmus,Pedersen,09/07/2002,decathlon-cma-cgm,74,182,65,51,25,30,41,79,77,63,37,42,53,91,75,78,280000,2027,70,null,65,63,75,75,87,42,54,25,37
Gianluca,Pollefliet,28/01/2002,decathlon-cma-cgm,74,180,32,34,22,28,20,64,44,46,34,40,32,76,72,70,150000,2027,68,null,55,45,57,51,63,20,32,20,32
Nicolas,Prodhomme,27/02/1996,decathlon-cma-cgm,63,174,37,83,81,72,37,45,40,86,84,75,40,48,76,78,450000,2028,72,null,60,51,54,81,84,33,36,38,41
Matthew,Riccitello,13/09/1998,decathlon-cma-cgm,55,172,20,58,90,89,37,36,32,70,99,99,49,48,78,80,550000,2027,74,null,65,32,44,38,50,25,37,55,67
Callum,Scotson,10/08/1996,decathlon-cma-cgm,77,183,29,52,66,58,44,34,32,55,69,61,47,37,70,72,420000,2027,72,null,58,37,40,41,44,41,44,44,47
Paul,Seixas,27/02/2007,decathlon-cma-cgm,64,186,20,91,77,64,72,38,80,99,97,95,93,76,85,90,1500000,2027,80,null,88,64,90,91,96,70,92,47,89
Johannes,Staune-Mittet,18/01/2002,decathlon-cma-cgm,67,182,20,60,61,60,36,27,32,72,73,72,48,39,76,80,380000,2028,76,null,72,35,47,48,60,28,40,48,60
