firstname,lastname,birthdate,team,weight,length,cob,hll,mtn,gc,itt,spr,maxcob,maxhll,maxmtn,maxgc,maxitt,maxspr,happyness,form,salary,contract,recovery,injury,media,flt,maxflt,or_,maxor,ttl,maxttl,tts,maxtts
Ben,Healy,01/06/2001,ef-education-easypost,62,175,59,94,87,84,68,55,67,99,95,92,76,63,75,80,870000,2027,72,null,83,76,84,93,99,61,69,60,68
Richard,Carapaz,01/06/1994,ef-education-easypost,62,170,28,88,91,90,47,52,29,89,92,91,48,53,75,80,730000,2026,72,null,71,52,53,77,78,43,44,49,50
Neilson,Powless,01/06/1997,ef-education-easypost,67,183,92,91,55,44,54,52,95,94,58,47,57,55,75,80,790000,2027,72,null,76,88,91,94,97,53,56,43,46
Madis,Mihkels,01/06/2004,ef-education-easypost,75,184,83,63,30,35,26,89,99,79,46,51,42,99,75,80,850000,2028,72,null,65,82,98,88,99,20,36,34,50
Marijn,Van den Berg,01/06/2000,ef-education-easypost,73,182,80,72,28,48,31,88,88,80,36,56,39,96,75,80,670000,2027,72,null,66,77,85,84,92,30,38,28,36
Luke,Lamperti,01/06/2003,ef-education-easypost,74,180,82,65,26,38,31,89,94,77,38,50,43,99,75,80,850000,2028,72,null,65,80,92,88,99,20,32,34,46
Alex,Baudin,01/06/2002,ef-education-easypost,64,183,20,89,64,62,44,40,32,99,76,74,56,52,75,80,630000,2027,72,null,63,57,69,85,97,39,51,39,51
Vincenzo,Albanese,01/06/1997,ef-education-easypost,70,175,78,82,38,43,30,74,81,85,41,46,33,77,75,80,660000,2027,72,null,65,69,72,89,92,31,34,20,23
Mikkel,Honoré,01/06/1997,ef-education-easypost,68,185,71,86,58,57,33,54,74,89,61,60,36,57,75,80,680000,2027,72,null,67,60,63,87,90,23,26,49,52
Kasper,Asgreen,01/06/1995,ef-education-easypost,75,193,67,64,35,45,86,63,68,65,36,46,87,64,75,80,800000,2027,72,null,77,74,75,72,73,87,88,78,79
Michael,Valgren,01/06/1992,ef-education-easypost,71,179,67,83,47,41,30,49,67,83,47,41,30,49,75,80,420000,2026,72,null,60,56,56,76,76,29,29,26,26
Archie,Ryan,01/06/2002,ef-education-easypost,56,172,20,79,69,50,26,31,32,91,81,62,38,43,75,80,520000,2027,72,null,54,42,54,74,86,20,32,34,46
Lukas,Nerurkar,01/06/2004,ef-education-easypost,65,177,20,76,61,50,25,38,36,92,77,66,41,54,75,80,670000,2027,72,null,53,44,60,78,94,25,41,20,36
Georg,Steinhauser,01/06/2002,ef-education-easypost,70,189,20,68,76,48,47,39,32,80,88,60,59,51,75,80,580000,2028,72,null,59,47,59,66,78,42,54,39,51
Harry,Sweeny,01/06/1999,ef-education-easypost,75,186,58,68,58,62,51,49,63,73,63,67,56,54,75,80,670000,2027,72,null,66,54,59,64,69,40,45,64,69
Michael,Leonard,01/06/2005,ef-education-easypost,60,170,20,49,33,39,76,35,36,65,49,55,92,51,75,80,740000,2027,72,null,58,56,72,58,74,78,94,42,58
Alexander,Cepeda,01/06/1999,ef-education-easypost,56,164,20,62,62,52,20,34,25,67,67,57,25,39,75,80,450000,2027,72,null,48,35,40,56,61,20,25,20,25
Max,Walker,01/06/2002,ef-education-easypost,65,180,45,43,24,36,55,40,57,55,36,48,67,52,75,80,550000,2027,72,null,56,51,63,54,66,41,53,75,87
Samuele,Battistella,01/06/1999,ef-education-easypost,67,180,25,66,30,39,23,45,30,71,35,44,28,50,75,80,450000,2027,72,null,48,44,49,66,71,22,27,23,28
Matthias,Schwarzbacher,01/06/2006,ef-education-easypost,72,183,38,45,27,30,52,44,58,65,47,50,72,64,75,80,680000,2028,72,null,54,52,72,56,76,50,70,54,74
Darren,Rafferty,01/06/2004,ef-education-easypost,65,176,25,54,52,44,58,34,41,70,68,60,74,50,75,80,740000,2027,72,null,58,48,64,59,75,57,73,49,65
James,Shaw,01/06/1997,ef-education-easypost,63,179,28,60,54,43,32,32,31,63,57,46,35,35,75,80,480000,2027,72,null,50,37,40,55,58,29,32,37,40
Noah,Hobbs,01/06/2005,ef-education-easypost,67,175,36,39,22,32,28,63,52,55,38,48,44,79,75,80,560000,2028,72,null,46,48,64,47,63,28,44,20,36
Colby,Simmons,01/06/2004,ef-education-easypost,68,185,45,49,38,36,29,55,61,65,54,52,45,71,75,80,620000,2027,72,null,50,45,61,59,75,30,46,20,36
Sean,Quinn,01/06/2001,ef-education-easypost,67,187,20,50,55,42,33,33,28,58,63,50,41,41,75,80,440000,2027,72,null,47,33,41,38,46,30,38,40,48
Markel,Beloki,01/06/2006,ef-education-easypost,65,183,20,50,52,42,41,31,40,70,72,62,61,51,75,80,620000,2028,72,null,50,37,57,45,65,34,54,54,74
Jardi,Van der Lee,01/06/2002,ef-education-easypost,65,185,20,47,51,40,20,27,32,59,63,52,32,39,75,80,390000,2027,72,null,43,32,44,53,65,20,32,20,32
Alastair,Mackellar,01/06/2002,ef-education-easypost,69,184,20,40,30,32,28,36,32,52,42,44,40,48,75,80,370000,2027,72,null,41,32,44,46,58,29,41,20,32
