firstname,lastname,birthdate,team,weight,length,cob,hll,mtn,gc,itt,spr,maxcob,maxhll,maxmtn,maxgc,maxitt,maxspr,happyness,form,salary,contract,recovery,injury,media,flt,maxflt,or_,maxor,ttl,maxttl,tts,maxtts
Guillaume,Martin-Guyonnet,01/06/1994,groupama-fdj-united,55,173,20,90,81,86,36,60,21,91,82,87,37,61,75,80,690000,2026,72,null,68,62,63,88,89,35,36,31,32
Romain,Grégoire,01/06/2003,groupama-fdj-united,64,176,28,94,67,74,61,54,40,99,79,86,73,66,75,80,1040000,2028,72,null,77,74,86,93,99,51,63,74,86
Valentin,Madouas,01/06/1997,groupama-fdj-united,71,179,88,91,62,69,35,58,91,94,65,72,38,61,75,80,750000,2027,72,null,73,80,83,91,94,35,38,26,29
Clément,Berthet,01/06/1998,groupama-fdj-united,68,184,39,86,73,67,42,45,44,91,78,72,47,50,75,80,670000,2027,72,null,66,56,61,81,86,40,45,33,38
Paul,Penhoët,01/06/2002,groupama-fdj-united,64,173,46,68,33,46,20,91,58,80,45,58,32,99,75,80,620000,2027,72,null,62,75,87,84,96,20,32,37,49
David,Gaudu,01/06/1997,groupama-fdj-united,53,172,20,79,79,76,45,41,23,82,82,79,48,44,75,80,630000,2027,72,null,63,48,51,62,65,40,43,46,49
Bastien,Tronchon,01/06/2003,groupama-fdj-united,72,185,45,84,39,50,27,73,57,96,51,62,39,85,75,80,780000,2028,72,null,60,58,70,82,94,25,37,25,37
Clément,Russo,01/06/1995,groupama-fdj-united,74,187,72,56,35,40,37,81,73,57,36,41,38,82,75,80,630000,2027,72,null,63,68,69,74,75,36,37,36,37
Quentin,Pacher,01/06/1992,groupama-fdj-united,62,179,28,82,62,54,44,47,28,82,62,54,44,47,75,80,420000,2026,72,null,61,50,50,75,75,43,43,29,29
Clément,Braz Afonso,01/06/2000,groupama-fdj-united,50,163,20,83,53,49,20,44,28,91,61,57,28,52,75,80,510000,2027,72,null,53,47,55,78,86,20,28,20,28
Remi,Cavagna,01/06/1996,groupama-fdj-united,78,186,42,51,34,42,88,38,45,54,37,45,91,41,75,80,700000,2027,72,null,69,68,71,62,65,80,83,91,94
Ewen,Costiou,01/06/2003,groupama-fdj-united,64,176,20,77,55,60,51,42,32,89,67,72,63,54,75,80,840000,2028,72,null,64,56,68,72,84,38,50,70,82
Rudy,Molard,01/06/1990,groupama-fdj-united,62,178,20,78,58,58,29,38,20,78,58,58,29,38,75,80,360000,2026,72,null,54,41,41,77,77,27,27,20,20
Thibaud,Gruel,01/06/2005,groupama-fdj-united,70,180,42,67,41,49,42,72,58,83,57,65,58,88,75,80,840000,2028,72,null,64,66,82,78,94,35,51,53,69
Axel,Huens,01/06/2002,groupama-fdj-united,65,180,59,54,25,36,20,73,71,66,37,48,32,85,75,80,520000,2027,72,null,54,58,70,75,87,20,32,20,32
Brieuc,Rolland,01/06/2004,groupama-fdj-united,59,179,20,78,54,46,26,35,36,94,70,62,42,51,75,80,650000,2027,72,null,52,45,61,68,84,24,40,28,44
Kevin,Geniets,01/06/1997,groupama-fdj-united,73,193,41,75,54,46,35,38,44,78,57,49,38,41,75,80,550000,2027,72,null,56,46,49,73,76,33,36,20,23
Rémy,Rochas,01/06/1997,groupama-fdj-united,51,164,20,73,56,56,24,43,23,76,59,59,27,46,75,80,500000,2027,72,null,52,42,45,57,60,20,23,30,33
Johan,Jacobs,01/06/1997,groupama-fdj-united,78,192,72,50,28,34,27,52,75,53,31,37,30,55,75,80,440000,2027,72,null,47,56,59,20,23,20,23,20,23
Lorenzo,Germani,01/06/2002,groupama-fdj-united,62,179,28,67,38,44,40,34,40,79,50,56,52,46,75,80,520000,2027,72,null,54,44,56,63,75,32,44,54,66
Cyril,Barthe,01/06/1996,groupama-fdj-united,70,184,48,49,33,34,27,65,51,52,36,37,30,68,75,80,490000,2027,72,null,51,51,54,65,68,27,30,20,23
Maxime,Decomble,01/06/2006,groupama-fdj-united,62,174,30,45,35,40,63,37,50,65,55,60,83,57,75,80,760000,2028,72,null,59,56,76,60,80,55,75,70,90
Lewis,Bower,01/06/2005,groupama-fdj-united,63,172,35,41,25,30,25,62,51,57,41,46,41,78,75,80,560000,2027,72,null,46,47,63,51,67,20,36,31,47
Matteo,Milan,01/06/2003,groupama-fdj-united,65,180,28,33,22,26,29,66,40,45,34,38,41,78,75,80,510000,2027,72,null,43,44,56,36,48,28,40,20,32
Enzo,Paleni,01/06/2003,groupama-fdj-united,65,180,30,55,35,46,47,45,42,67,47,58,59,57,75,80,680000,2027,72,null,54,45,57,53,65,46,58,42,54
Tom,Donnenwirth,01/06/1998,groupama-fdj-united,63,178,20,53,42,40,20,48,25,58,47,45,25,53,75,80,430000,2027,72,null,46,40,45,58,63,20,25,20,25
Olivier,Le Gac,01/06/1994,groupama-fdj-united,70,180,51,45,25,33,23,45,52,46,26,34,24,46,75,80,440000,2026,72,null,47,46,47,61,62,23,24,20,21
Josh,Kench,01/06/2002,groupama-fdj-united,65,180,20,33,25,38,32,26,32,45,37,50,44,38,75,80,340000,2027,72,null,39,33,45,30,42,31,43,31,43
Titouan,Fontaine,01/06/2006,groupama-fdj-united,70,183,31,31,22,23,27,33,51,51,42,43,47,53,75,80,430000,2028,72,null,38,34,54,40,60,26,46,20,40
