firstname,lastname,birthdate,team,weight,length,cob,hll,mtn,gc,itt,spr,maxcob,maxhll,maxmtn,maxgc,maxitt,maxspr,happyness,form,salary,contract,recovery,injury,media,flt,maxflt,or_,maxor,ttl,maxttl,tts,maxtts
Filippo,Ganna,01/06/1997,ineos-grenadiers,83,193,92,81,49,71,95,62,95,84,52,74,98,65,75,80,1230000,2028,74,null,97,92,95,92,95,93,96,98,99
Oscar,Onley,01/06/2003,ineos-grenadiers,62,173,20,91,91,91,69,55,32,99,99,99,81,67,75,80,1340000,2028,74,null,84,63,75,79,91,57,69,81,93
Kévin,Vauquelin,01/06/2002,ineos-grenadiers,69,176,36,92,86,89,89,60,48,99,98,99,99,72,75,80,1170000,2028,74,null,93,74,86,90,99,85,97,85,97
Thymen,Arensman,01/06/2000,ineos-grenadiers,68,190,20,86,91,88,90,38,28,94,99,96,98,46,75,80,1080000,2027,74,null,87,69,77,62,70,88,96,92,99
Egan,Bernal,01/06/1997,ineos-grenadiers,60,175,20,90,89,88,45,48,23,93,92,91,48,51,75,80,880000,2027,74,null,74,51,54,77,80,45,48,45,48
Carlos,Rodríguez,01/06/2001,ineos-grenadiers,67,183,20,81,90,89,69,54,28,89,98,97,77,62,75,80,960000,2028,74,null,79,54,62,52,60,60,68,76,84
Magnus,Sheffield,01/06/2003,ineos-grenadiers,73,183,82,82,67,71,87,51,94,94,79,83,99,63,75,80,1500000,2028,74,null,92,79,91,84,96,81,93,91,99
Dorian,Godon,01/06/1997,ineos-grenadiers,74,189,20,90,44,50,53,80,23,93,47,53,56,83,75,80,900000,2027,74,null,75,70,73,90,93,45,48,63,66
Joshua,Tarling,01/06/2004,ineos-grenadiers,78,194,70,47,42,39,94,48,86,63,58,55,99,64,75,80,1360000,2028,74,null,85,89,99,85,99,93,99,98,99
Axel,Laurance,01/06/2002,ineos-grenadiers,63,179,44,89,53,52,26,78,56,99,65,64,38,90,75,80,810000,2027,74,null,69,64,76,84,96,26,38,25,37
Ben,Turner,01/06/2000,ineos-grenadiers,74,194,68,59,45,49,63,83,76,67,53,57,71,91,75,80,930000,2027,74,null,77,68,76,62,70,39,47,88,96
Sam,Watson,01/06/2002,ineos-grenadiers,68,188,66,37,77,73,56,50,78,49,89,85,68,62,75,80,930000,2028,74,null,77,64,76,42,54,61,73,99,99
Sam,Welsford,01/06/1996,ineos-grenadiers,79,182,41,46,23,35,42,90,44,49,26,38,45,93,75,80,750000,2027,74,null,65,72,75,69,72,20,23,68,71
Tobias,Foss,01/06/1998,ineos-grenadiers,74,184,38,56,59,54,85,36,43,61,64,59,90,41,75,80,930000,2027,74,null,77,66,71,65,70,85,90,78,83
Laurens,De Plus,01/06/1996,ineos-grenadiers,67,189,31,58,75,77,49,42,34,61,78,80,52,45,75,80,780000,2027,74,null,67,42,45,48,51,46,49,52,55
Victor,Langellotti,01/06/1996,ineos-grenadiers,64,177,20,72,63,62,32,43,23,75,66,65,35,46,75,80,670000,2027,74,null,60,41,44,51,54,20,23,49,52
Jack,Haig,01/06/1994,ineos-grenadiers,67,190,20,68,72,64,47,42,21,69,73,65,48,43,75,80,700000,2026,74,null,62,44,45,45,46,35,36,41,42
Ben,Swift Ben,01/06/1988,ineos-grenadiers,69,179,53,59,38,40,20,68,53,59,38,40,20,68,75,80,450000,2026,74,null,58,52,52,68,68,20,20,20,20
Connor,Swift Connor,01/06/1996,ineos-grenadiers,75,190,65,58,32,41,53,42,68,61,35,44,56,45,75,80,780000,2027,74,null,67,54,57,65,68,47,50,67,70
Michał,Kwiatkowski,01/06/1991,ineos-grenadiers,68,176,56,66,55,52,52,47,56,66,55,52,52,47,75,80,570000,2026,74,null,70,54,54,66,66,49,49,53,53
Embret,Svestad-Bårdseng,01/06/2003,ineos-grenadiers,68,185,20,63,60,61,36,45,32,75,72,73,48,57,75,80,870000,2028,74,null,60,42,54,60,72,34,46,35,47
Brandon,Rivera,01/06/1997,ineos-grenadiers,60,170,34,64,56,54,51,42,37,67,59,57,54,45,75,80,750000,2027,74,null,65,47,50,52,55,50,53,56,59
Artem,Shmidt,01/06/2004,ineos-grenadiers,76,191,33,55,25,30,55,40,49,71,41,46,71,56,75,80,890000,2028,74,null,61,47,63,60,76,40,56,75,91
Bob,Jungels,01/06/1993,ineos-grenadiers,70,189,47,64,59,46,46,47,48,65,60,47,47,48,75,80,510000,2026,74,null,64,45,46,57,58,41,42,38,39
Kim,Heiduk,01/06/2000,ineos-grenadiers,70,184,46,47,32,41,30,64,54,55,40,49,38,72,75,80,610000,2027,74,null,56,46,54,45,53,26,34,34,42
AJ,August,01/06/2006,ineos-grenadiers,57,170,25,57,48,48,33,29,45,77,68,68,53,49,75,80,740000,2028,74,null,53,34,54,40,60,29,49,41,61
Óscar,Óscar Rodríguez,01/06/1996,ineos-grenadiers,63,179,20,50,54,48,27,31,23,53,57,51,30,34,75,80,520000,2027,74,null,50,31,34,39,42,25,28,29,32
Peter,Øxenberg,01/06/2006,ineos-grenadiers,69,191,22,39,36,33,48,29,42,59,56,53,68,49,75,80,740000,2028,74,null,53,36,56,39,59,31,51,69,89
Lucas,Hamilton,01/06/1996,ineos-grenadiers,71,184,20,49,38,37,26,35,23,52,41,40,29,38,75,80,510000,2027,74,null,49,34,37,49,52,20,23,34,37
