firstname,lastname,birthdate,team,weight,length,cob,hll,mtn,gc,itt,spr,maxcob,maxhll,maxmtn,maxgc,maxitt,maxspr,happyness,form,salary,contract,recovery,injury,media,flt,maxflt,or_,maxor,ttl,maxttl,tts,maxtts
Mads,Pedersen,01/06/1996,lidl-trek,76,180,99,91,47,59,79,91,99,94,50,62,82,94,75,80,1040000,2027,73,null,92,95,98,96,99,58,61,92,95
Mattias,Skjelmose,01/06/2001,lidl-trek,65,180,20,94,86,84,83,56,28,99,94,92,91,64,75,80,980000,2028,73,null,88,81,89,93,99,75,83,88,96
Jonathan,Milan,01/06/2001,lidl-trek,84,194,85,74,25,39,61,96,93,82,33,47,69,99,75,80,880000,2028,73,null,80,91,99,91,99,32,40,89,97
Juan,Ayuso,01/06/2003,lidl-trek,65,183,20,90,91,90,90,52,32,99,99,99,99,64,75,80,1300000,2028,73,null,89,80,92,89,99,77,89,93,99
Giulio,Ciccone,01/06/1995,lidl-trek,58,176,20,92,91,83,42,56,21,93,92,84,43,57,75,80,810000,2027,73,null,75,66,67,92,93,32,33,60,61
Derek,Gee-West,01/06/1998,lidl-trek,72,189,35,77,87,90,83,54,40,82,92,95,88,59,75,80,920000,2027,73,null,83,64,69,61,66,79,84,87,92
Toms,Skujiņš,01/06/1992,lidl-trek,72,181,90,91,51,55,48,56,90,91,51,55,48,56,75,80,590000,2026,73,null,77,83,83,93,93,46,46,43,43
Mathias,Vacek,01/06/2003,lidl-trek,75,188,63,78,49,53,89,67,75,90,61,65,99,79,75,80,1230000,2028,73,null,85,80,92,85,97,81,93,93,99
Thibau,Nys,01/06/2003,lidl-trek,64,176,26,90,60,46,34,47,38,99,72,58,46,59,75,80,870000,2028,73,null,64,59,71,90,99,20,32,51,63
Andrea,Bagioli,01/06/2000,lidl-trek,60,176,20,90,58,44,31,46,28,98,66,52,39,54,75,80,650000,2027,73,null,62,63,71,90,98,28,36,37,45
Max,Walscheid,01/06/1994,lidl-trek,91,199,72,45,23,34,74,80,73,46,24,35,75,81,75,80,800000,2027,73,null,74,73,74,76,77,55,56,90,91
Tim Torn,Teutenberg,01/06/2003,lidl-trek,68,183,46,59,30,34,43,89,58,71,42,46,55,99,75,80,890000,2028,73,null,65,70,82,74,86,39,51,48,60
Quinn,Simmons,01/06/2002,lidl-trek,73,185,20,91,41,44,35,42,32,99,53,56,47,54,75,80,630000,2027,73,null,61,60,72,89,99,25,37,52,64
Matteo,Sobrero,01/06/1998,lidl-trek,63,177,20,68,52,66,79,49,25,73,57,71,84,54,75,80,800000,2027,73,null,74,61,66,66,71,75,80,88,93
Bauke,Mollema,01/06/1987,lidl-trek,64,184,32,86,40,45,42,37,32,86,40,45,42,37,75,80,450000,2026,73,null,62,55,55,86,86,38,38,44,44
Jakob,Söderqvist,01/06/2004,lidl-trek,83,187,39,50,31,48,84,43,55,66,47,64,99,59,75,80,980000,2028,73,null,70,70,86,61,77,73,89,90,99
Julien,Bernard,01/06/1993,lidl-trek,60,176,20,75,67,55,32,42,21,76,68,56,33,43,75,80,420000,2026,73,null,59,47,48,73,74,31,32,28,29
Edward,Theuns,01/06/1992,lidl-trek,72,183,63,47,24,38,28,77,63,47,24,38,28,77,75,80,420000,2026,73,null,59,69,69,77,77,27,27,29,29
Søren,Kragh Andersen,01/06/1995,lidl-trek,73,178,70,67,29,47,51,63,71,68,30,48,52,64,75,80,750000,2027,73,null,70,66,67,81,82,32,33,75,76
Patrick,Konrad,01/06/1992,lidl-trek,64,181,20,77,54,54,31,47,20,77,54,54,31,47,75,80,410000,2026,73,null,58,46,46,73,73,24,24,41,41
Carlos,Verona,01/06/1993,lidl-trek,68,186,20,51,76,56,25,37,21,52,77,57,26,38,75,80,340000,2026,73,null,50,34,35,40,41,26,27,20,21
Albert,Withen Philipsen,01/06/2007,lidl-trek,68,184,47,71,41,40,42,44,67,91,61,60,62,64,75,80,860000,2028,73,null,63,56,76,82,99,37,57,59,79
Simone,Consonni,01/06/1995,lidl-trek,60,165,41,43,26,37,28,79,42,44,27,38,29,80,75,80,550000,2027,73,null,55,60,61,65,66,27,28,26,27
Sam,Oomen,01/06/1996,lidl-trek,65,177,20,70,57,53,26,33,23,73,60,56,29,36,75,80,530000,2027,73,null,53,40,43,65,68,21,24,34,37
Lennard,Kämna,01/06/1997,lidl-trek,65,181,20,63,62,64,55,42,23,66,65,67,58,45,75,80,630000,2027,73,null,61,44,47,44,47,54,57,47,50
Mathias,Norsgaard,01/06/1998,lidl-trek,88,202,65,46,24,33,41,52,70,51,29,38,46,57,75,80,580000,2027,73,null,57,53,58,66,71,36,41,35,40
Tao,Geoghegan Hart,01/06/1996,lidl-trek,65,183,20,59,56,60,60,29,23,62,59,63,63,32,75,80,610000,2027,73,null,59,44,47,35,38,55,58,57,60
Jacopo,Mosca,01/06/1994,lidl-trek,65,173,25,56,31,37,20,52,26,57,32,38,21,53,75,80,460000,2026,73,null,48,40,41,61,62,20,21,20,21
Amanuel,Ghebreigzabhier,01/06/1995,lidl-trek,68,187,20,58,39,44,28,26,21,59,40,45,29,27,75,80,450000,2027,73,null,47,36,37,50,51,26,27,26,27
Otto,Vergaerde,01/06/1995,lidl-trek,74,181,41,42,27,35,20,43,42,43,28,36,21,44,75,80,420000,2027,73,null,45,37,38,50,51,20,21,20,21
