firstname,lastname,birthdate,team,weight,length,cob,hll,mtn,gc,itt,spr,maxcob,maxhll,maxmtn,maxgc,maxitt,maxspr,happyness,form,salary,contract,recovery,injury,media,flt,maxflt,or_,maxor,ttl,maxttl,tts,maxtts
Arnaud,De Lie,01/06/2002,lotto-intermarche,78,182,68,91,43,68,20,94,80,99,55,80,32,99,75,80,660000,2027,71,null,70,90,99,95,99,20,32,20,32
Jenno,Berckmoes,01/06/2001,lotto-intermarche,61,177,84,84,40,52,31,70,92,92,48,60,39,78,75,80,630000,2027,71,null,68,73,81,89,97,30,38,36,44
Lennert,Van Eetvelt,01/06/2002,lotto-intermarche,63,176,49,84,78,78,37,55,61,96,90,90,49,67,75,80,640000,2028,71,null,69,54,66,78,90,31,43,49,61
Milan,Menten,01/06/1997,lotto-intermarche,68,174,71,68,31,43,24,85,74,71,34,46,27,88,75,80,580000,2027,71,null,63,76,79,86,89,20,23,26,29
Jonas,Rutsch,01/06/1998,lotto-intermarche,82,197,87,64,31,41,30,54,92,69,36,46,35,59,75,80,550000,2027,71,null,60,65,70,82,87,29,34,26,31
Steffen,De Schuyteneer,01/06/2005,lotto-intermarche,74,184,59,50,24,43,39,85,75,66,40,59,55,99,75,80,740000,2028,71,null,62,69,85,75,91,37,53,42,58
Georg,Zimmermann,01/06/1998,lotto-intermarche,70,181,37,81,51,58,31,50,42,86,56,63,36,55,75,80,530000,2027,71,null,59,54,59,81,86,31,36,20,25
Vito,Braet,01/06/2001,lotto-intermarche,68,184,72,63,28,37,28,69,80,71,36,45,36,77,75,80,530000,2027,71,null,59,65,73,80,88,27,35,26,34
Lionel,Taminiaux,01/06/1997,lotto-intermarche,74,173,63,52,24,31,20,77,66,55,27,34,23,80,75,80,480000,2027,71,null,54,66,69,76,79,20,23,20,23
Lorenzo,Rota,01/06/1996,lotto-intermarche,62,173,20,78,32,38,23,49,23,81,35,41,26,52,75,80,450000,2027,71,null,51,52,55,82,85,23,26,20,23
Huub,Artz,01/06/2003,lotto-intermarche,71,186,48,50,35,40,64,60,60,62,47,52,76,72,75,80,770000,2028,71,null,64,62,74,60,72,40,52,90,99
Cédric,Beullens,01/06/1997,lotto-intermarche,79,190,63,52,28,34,29,67,66,55,31,37,32,70,75,80,500000,2027,71,null,56,59,62,72,75,26,29,35,38
Luca,Van Boven,01/06/2000,lotto-intermarche,68,179,53,64,28,43,23,61,61,72,36,51,31,69,75,80,480000,2027,71,null,54,53,61,73,81,24,32,20,28
Simone,Gualdi,01/06/2006,lotto-intermarche,61,173,20,69,38,35,20,33,40,89,58,55,40,53,75,80,520000,2028,71,null,47,44,64,72,92,20,40,20,40
Jarno,Widar,01/06/2006,lotto-intermarche,54,166,20,57,63,44,26,28,40,77,83,64,46,48,75,80,550000,2028,71,null,49,39,59,61,81,20,40,34,54
Sébastien,Grignard,01/06/2000,lotto-intermarche,68,179,62,49,28,38,27,51,70,57,36,46,35,59,75,80,460000,2027,71,null,52,48,56,66,74,26,34,27,35
Jasper,De Buyst,01/06/1994,lotto-intermarche,72,179,50,60,29,38,24,52,51,61,30,39,25,53,75,80,450000,2026,71,null,51,49,50,68,69,20,21,29,30
Liam,Slock,01/06/2001,lotto-intermarche,74,188,53,59,30,41,20,51,61,67,38,49,28,59,75,80,440000,2027,71,null,50,46,54,67,75,20,28,20,28
Taco,Van der Hoorn,01/06/1994,lotto-intermarche,73,187,64,39,22,28,20,44,65,40,23,29,21,45,75,80,400000,2026,71,null,47,54,55,61,62,20,21,20,21
Reuben,Thompson,01/06/2001,lotto-intermarche,66,183,33,59,44,42,33,37,41,67,52,50,41,45,75,80,420000,2027,71,null,49,39,47,57,65,35,43,20,28
Matys,Grisel,01/06/2006,lotto-intermarche,68,182,40,45,25,28,20,56,60,65,45,48,40,76,75,80,510000,2028,71,null,46,50,70,63,83,20,40,20,40
Lars,Craps,01/06/2002,lotto-intermarche,67,185,48,55,42,44,26,33,60,67,54,56,38,45,75,80,410000,2027,71,null,48,41,53,48,60,26,38,20,32
Roel,Van Sintmaartensdijk,01/06/2002,lotto-intermarche,77,197,53,41,27,38,36,45,65,53,39,50,48,57,75,80,460000,2027,71,null,52,49,61,59,71,34,46,42,54
Mathieu,Kockelmann,01/06/2004,lotto-intermarche,70,183,28,38,27,32,35,57,44,54,43,48,51,73,75,80,540000,2028,71,null,48,45,61,46,62,28,44,45,61
Joshua,Giddings,01/06/2004,lotto-intermarche,68,195,45,34,24,30,37,54,61,50,40,46,53,70,75,80,550000,2027,71,null,49,47,63,53,69,36,52,38,54
Toon,Aerts,01/06/1994,lotto-intermarche,72,188,39,48,28,37,20,44,40,49,29,38,21,45,75,80,380000,2026,71,null,45,39,40,45,46,20,21,38,39
Baptiste,Veistroffer,01/06/2001,lotto-intermarche,73,182,43,38,34,33,31,41,51,46,42,41,39,49,75,80,400000,2027,71,null,47,39,47,50,58,25,33,39,47
Robin,Orins,01/06/2002,lotto-intermarche,68,190,36,37,27,27,44,36,48,49,39,39,56,48,75,80,390000,2027,71,null,46,42,54,47,59,42,54,27,39
Matthew,Fox,01/06/2003,lotto-intermarche,71,175,20,33,26,28,23,48,32,45,38,40,35,60,75,80,420000,2027,71,null,40,39,51,41,53,23,35,20,32
Felix,Ørn-Kristoff,01/06/2006,lotto-intermarche,76,183,33,31,21,32,20,39,53,51,41,52,40,59,75,80,410000,2028,71,null,39,37,57,40,60,20,40,20,40
