firstname,lastname,birthdate,team,weight,length,cob,hll,mtn,gc,itt,spr,maxcob,maxhll,maxmtn,maxgc,maxitt,maxspr,happyness,form,salary,contract,recovery,injury,media,flt,maxflt,or_,maxor,ttl,maxttl,tts,maxtts
Enric,Mas,01/06/1995,movistar-team,61,177,20,87,91,90,50,50,21,88,92,91,51,51,75,80,670000,2027,72,null,71,51,52,73,74,45,46,54,55
Einer,Rubio,01/06/1998,movistar-team,56,164,20,75,90,85,32,44,25,80,95,90,37,49,75,80,560000,2027,72,null,61,41,46,61,66,31,36,33,38
Iván,García Cortina,01/06/1996,movistar-team,77,183,88,67,31,40,20,82,91,70,34,43,23,85,75,80,570000,2027,72,null,62,75,78,85,88,20,23,20,23
Iván,Romeo,01/06/2004,movistar-team,75,193,29,78,59,64,87,41,45,94,75,80,99,57,75,80,940000,2028,72,null,76,73,89,73,89,86,99,78,94
Cian,Uijtdebroeks,01/06/2003,movistar-team,68,185,20,86,78,74,41,37,32,98,90,86,53,49,75,80,750000,2028,72,null,63,48,60,80,92,42,54,32,44
Orluis,Aular,01/06/1997,movistar-team,65,176,55,80,45,48,40,87,58,83,48,51,43,90,75,80,620000,2027,72,null,67,68,71,74,77,35,38,41,44
Pablo,Castrillo,01/06/2001,movistar-team,74,183,20,71,84,67,74,36,28,79,92,75,82,44,75,80,660000,2027,72,null,70,55,63,50,58,63,71,82,90
Raúl,García Pierna,01/06/2001,movistar-team,67,175,20,75,73,61,82,39,28,83,81,69,90,47,75,80,700000,2027,72,null,74,61,69,68,76,77,85,86,94
Roger,Adrià,01/06/1999,movistar-team,64,179,50,89,55,46,32,52,55,94,60,51,37,57,75,80,560000,2027,72,null,61,55,60,90,95,30,35,20,25
Lorenzo,Milesi,01/06/2003,movistar-team,70,180,50,67,38,41,79,67,62,79,50,53,91,79,75,80,910000,2028,72,null,74,66,78,75,87,68,80,90,99
Javier,Romo,01/06/1999,movistar-team,70,184,20,81,72,67,39,41,25,86,77,72,44,46,75,80,570000,2027,72,null,62,52,57,66,71,29,34,55,60
Carlos,Canal,01/06/2002,movistar-team,70,179,66,82,40,51,26,61,78,94,52,63,38,73,75,80,570000,2027,72,null,62,61,73,85,97,22,34,32,44
Jon,Barrenetxea,01/06/2001,movistar-team,74,188,54,82,42,44,20,62,62,90,50,52,28,70,75,80,520000,2027,72,null,58,57,65,88,96,20,28,20,28
Natnael,Tesfazion,01/06/2000,movistar-team,60,175,20,80,40,50,20,61,28,88,48,58,28,69,75,80,490000,2027,72,null,55,55,63,84,92,20,28,20,28
Nelson,Oliveira,01/06/1989,movistar-team,67,180,20,57,47,46,87,48,20,57,47,46,87,48,75,80,450000,2026,72,null,69,65,65,63,63,87,87,79,79
Davide,Formolo,01/06/1993,movistar-team,62,182,42,81,57,46,26,41,43,82,58,47,27,42,75,80,360000,2026,72,null,57,49,50,82,83,26,27,21,22
Jefferson,Cepeda,01/06/1996,movistar-team,61,170,20,71,65,59,43,33,23,74,68,62,46,36,75,80,530000,2027,72,null,59,47,50,66,69,38,41,55,58
Nairo,Quintana,01/06/1990,movistar-team,58,167,20,67,72,60,27,36,20,67,72,60,27,36,75,80,320000,2026,72,null,52,39,39,60,60,28,28,20,20
Juan Pedro,López,01/06/1998,movistar-team,60,170,20,64,66,68,32,33,25,69,71,73,37,38,75,80,460000,2027,72,null,52,39,44,46,51,31,36,26,31
Diego,Pescador,01/06/2005,movistar-team,60,174,20,75,45,42,23,37,36,91,61,58,39,53,75,80,570000,2027,72,null,50,45,61,76,92,23,39,22,38
Gonzalo,Serrano,01/06/1995,movistar-team,65,177,49,67,37,36,27,53,50,68,38,37,28,54,75,80,480000,2027,72,null,54,48,49,72,73,20,21,33,34
Pelayo,Sánchez,01/06/2001,movistar-team,62,177,20,55,57,43,28,32,28,63,65,51,36,40,75,80,400000,2027,72,null,47,35,43,44,52,20,28,39,47
Michel,Heßmann,01/06/2002,movistar-team,78,191,20,52,31,39,33,35,32,64,43,51,45,47,75,80,380000,2027,72,null,45,35,47,40,52,26,38,42,54
Manlio,Moro,01/06/2003,movistar-team,81,190,44,39,24,34,39,45,56,51,36,46,51,57,75,80,570000,2028,72,null,50,42,54,51,63,32,44,53,65
Pavel,Novak,01/06/2005,movistar-team,64,181,20,46,46,40,20,34,36,62,62,56,36,50,75,80,450000,2028,72,null,42,32,48,45,61,20,36,20,36
Jorge,Arcas,01/06/1993,movistar-team,68,187,20,44,27,38,20,39,21,45,28,39,21,40,75,80,230000,2026,72,null,40,33,34,43,44,20,21,20,21
Albert,Torres,01/06/1991,movistar-team,70,180,31,30,24,33,26,35,31,30,24,33,26,35,75,80,220000,2026,72,null,39,30,30,34,34,27,27,20,20
