firstname,lastname,birthdate,team,weight,length,cob,hll,mtn,gc,itt,spr,maxcob,maxhll,maxmtn,maxgc,maxitt,maxspr,happyness,form,salary,contract,recovery,injury,media,flt,maxflt,or_,maxor,ttl,maxttl,tts,maxtts
Biniam,Girmay,01/06/2001,nsn-cycling-team,70,184,85,85,34,39,38,96,93,93,42,47,46,99,75,80,670000,2028,72,null,71,89,97,93,99,38,46,20,28
Corbin,Strong,01/06/2001,nsn-cycling-team,63,173,51,90,44,58,23,83,59,98,52,66,31,91,75,80,600000,2027,72,null,65,74,82,91,99,23,31,20,28
Ethan,Vernon,01/06/2001,nsn-cycling-team,74,188,36,56,40,38,61,90,44,64,48,46,69,98,75,80,640000,2027,72,null,69,78,86,70,78,41,49,88,96
Hugo,Hofstetter,01/06/1994,nsn-cycling-team,66,170,79,59,23,30,20,86,80,60,24,31,21,87,75,80,530000,2027,72,null,59,73,74,88,89,20,21,20,21
Tom,Van Asbroeck,01/06/1991,nsn-cycling-team,72,182,81,64,32,32,20,80,81,64,32,32,20,80,75,80,390000,2026,72,null,61,75,75,86,86,20,20,20,20
Lewis,Askey,01/06/2002,nsn-cycling-team,75,187,78,73,31,47,25,79,90,85,43,59,37,91,75,80,580000,2028,72,null,63,72,84,86,98,26,38,20,32
Joe,Blackmore,01/06/2003,nsn-cycling-team,66,181,62,87,51,53,32,50,74,99,63,65,44,62,75,80,750000,2028,72,null,63,55,67,81,93,20,32,47,59
Marco,Frigo,01/06/2000,nsn-cycling-team,70,188,20,69,73,61,71,33,28,77,81,69,79,41,75,80,630000,2027,72,null,68,54,62,54,62,57,65,88,96
Riley,Sheehan,01/06/2001,nsn-cycling-team,69,183,71,77,32,51,25,63,79,85,40,59,33,71,75,80,570000,2027,72,null,62,64,72,87,95,23,31,27,35
Jake,Stewart,01/06/2000,nsn-cycling-team,66,179,45,64,29,40,25,85,53,72,37,48,33,93,75,80,490000,2027,72,null,55,61,69,58,66,25,33,20,28
Oded,Kogut,01/06/2001,nsn-cycling-team,77,171,45,43,21,29,23,89,53,51,29,37,31,97,75,80,460000,2027,72,null,52,60,68,70,78,20,28,26,34
Stephen,Williams,01/06/1997,nsn-cycling-team,59,183,20,82,49,53,25,46,23,85,52,56,28,49,75,80,470000,2027,72,null,53,39,42,73,76,21,24,30,33
Matis,Louvel,01/06/2000,nsn-cycling-team,77,187,69,65,31,39,23,73,77,73,39,47,31,81,75,80,520000,2027,72,null,58,59,67,81,89,23,31,20,28
Alexey,Lutsenko,01/06/1993,nsn-cycling-team,74,174,26,77,57,52,55,44,27,78,58,53,56,45,75,80,410000,2026,72,null,64,51,52,73,74,48,49,58,59
Pier-André,Côté,01/06/1998,nsn-cycling-team,74,181,51,59,42,43,66,60,56,64,47,48,71,65,75,80,640000,2027,72,null,69,59,64,69,74,58,63,85,90
George,Bennett,01/06/1991,nsn-cycling-team,58,181,20,71,69,59,35,36,20,71,69,59,35,36,75,80,340000,2026,72,null,55,44,44,63,63,37,37,25,25
Itamar,Einhorn,01/06/1998,nsn-cycling-team,72,172,29,43,27,27,20,82,34,48,32,32,25,87,75,80,420000,2027,72,null,49,55,60,67,72,20,25,20,25
Krists,Neilands,01/06/1995,nsn-cycling-team,69,189,63,67,42,44,39,56,64,68,43,45,40,57,75,80,550000,2027,72,null,60,54,55,74,75,37,38,32,33
Alessandro,Pinarello,01/06/2004,nsn-cycling-team,68,181,20,72,55,44,20,40,36,88,71,60,36,56,75,80,580000,2027,72,null,51,47,63,72,88,20,36,20,36
Jan,Hirt,01/06/1991,nsn-cycling-team,62,181,20,41,72,61,28,35,20,41,72,61,28,35,75,80,270000,2026,72,null,46,30,30,26,26,29,29,20,20
Ryan,Mullen,01/06/1995,nsn-cycling-team,77,189,36,34,23,33,73,46,37,35,24,34,74,47,75,80,500000,2027,72,null,56,53,54,58,59,75,76,38,39
Guillaume,Boivin,01/06/1990,nsn-cycling-team,78,180,61,55,28,36,27,62,61,55,28,36,27,62,75,80,330000,2026,72,null,54,53,53,71,71,27,27,20,20
Brady,Gilmore,01/06/2002,nsn-cycling-team,70,172,40,67,40,42,25,51,52,79,52,54,37,63,75,80,470000,2027,72,null,53,48,60,71,83,24,36,24,36
Nick,Schultz,01/06/1995,nsn-cycling-team,68,180,20,69,43,40,26,45,21,70,44,41,27,46,75,80,420000,2027,72,null,49,41,42,66,67,25,26,20,21
Pau,Martí,01/06/2005,nsn-cycling-team,68,181,28,66,48,39,25,32,44,82,64,55,41,48,75,80,550000,2028,72,null,49,45,61,67,83,23,39,24,40
Simon,Clarke,01/06/1987,nsn-cycling-team,63,175,40,60,27,37,20,44,40,60,27,37,20,44,75,80,280000,2026,72,null,47,45,45,63,63,20,20,20,20
Dion,Smith,01/06/1993,nsn-cycling-team,67,179,36,55,30,41,20,47,37,56,31,42,21,48,75,80,280000,2026,72,null,47,42,43,59,60,20,21,20,21
Nadav,Raisberg,01/06/2002,nsn-cycling-team,67,178,44,43,26,38,20,47,56,55,38,50,32,59,75,80,370000,2027,72,null,44,40,52,51,63,20,32,20,32
Floris,Van Tricht,01/06/2002,nsn-cycling-team,69,176,44,39,22,26,20,43,56,51,34,38,32,55,75,80,350000,2027,72,null,42,42,54,53,65,20,32,20,32
Rotem,Tene,01/06/2002,nsn-cycling-team,72,180,29,33,24,25,20,44,41,45,36,37,32,56,75,80,330000,2027,72,null,40,43,55,43,55,20,32,20,32
