firstname,lastname,birthdate,team,weight,length,cob,hll,mtn,gc,itt,spr,maxcob,maxhll,maxmtn,maxgc,maxitt,maxspr,happyness,form,salary,contract,recovery,injury,media,flt,maxflt,or_,maxor,ttl,maxttl,tts,maxtts
Giovanni,Aleotti,25/03/1999,red-bull-bora-hansgrohe,64,180,24,70,62,60,20,40,32,78,70,68,28,48,75,78,480000,2027,72,null,65,43,51,62,70,20,28,20,28
Adrien,Boichis,12/05/2002,red-bull-bora-hansgrohe,68,180,28,65,35,36,27,31,40,77,47,48,39,43,70,68,90000,2027,65,null,52,37,49,59,71,20,32,35,47
Mattia,Cattaneo,25/10/1990,red-bull-bora-hansgrohe,67,184,36,59,54,59,89,44,36,59,54,59,89,44,72,72,550000,2027,74,null,68,69,69,66,66,87,87,87,87
Nico,Denz,08/02/1994,red-bull-bora-hansgrohe,71,183,39,75,37,40,45,54,40,76,38,41,46,55,72,70,380000,2027,70,null,58,53,54,63,64,39,40,50,51
Jarrad,Drizners,22/04/1999,red-bull-bora-hansgrohe,70,186,33,40,27,40,31,48,41,48,35,48,39,56,70,68,180000,2027,68,null,52,43,51,49,57,30,38,20,28
Haimar,Etxeberria,15/07/2003,red-bull-bora-hansgrohe,65,177,20,68,40,31,20,56,36,84,56,47,36,72,70,68,80000,2028,66,null,50,45,61,81,97,20,36,20,36
Remco,Evenepoel,25/01/2000,red-bull-bora-hansgrohe,63,171,20,95,90,90,99,67,28,99,98,98,99,75,88,90,4500000,2028,92,null,98,95,99,97,99,99,99,93,99
Finn,Fisher-Black,28/12/2001,red-bull-bora-hansgrohe,69,189,20,73,53,61,70,60,32,85,65,73,82,72,78,80,380000,2027,76,null,65,60,72,61,73,58,70,82,94
Alexander,Hajek,14/03/2003,red-bull-bora-hansgrohe,55,176,20,61,43,51,20,40,36,77,59,67,36,56,68,65,80000,2027,64,null,48,39,55,60,76,20,36,20,36
Emil,Herzog,02/08/2004,red-bull-bora-hansgrohe,74,184,40,58,43,37,33,41,56,74,59,53,49,57,68,65,70000,2027,64,null,48,42,58,60,76,30,46,35,51
Jai,Hindley,05/05/1996,red-bull-bora-hansgrohe,60,175,20,83,91,89,51,50,23,86,94,92,54,53,74,76,850000,2027,74,null,72,51,54,72,75,40,43,71,74
Florian,Lipowitz,07/09/2000,red-bull-bora-hansgrohe,68,181,20,86,91,92,84,45,28,94,99,99,92,53,80,85,650000,2028,78,null,75,62,70,50,58,75,83,83,91
Arne,Marit,21/02/1998,red-bull-bora-hansgrohe,72,185,49,54,27,36,20,90,54,59,32,41,25,95,72,70,320000,2027,70,null,58,70,75,82,87,20,25,20,25
Daniel Felipe,Martínez,25/04/1996,red-bull-bora-hansgrohe,63,172,20,68,83,77,72,43,23,71,86,80,75,46,78,82,1200000,2028,80,null,82,55,58,70,73,65,68,81,84
Jordi,Meeus,01/12/1998,red-bull-bora-hansgrohe,80,190,90,72,24,35,20,94,95,77,29,40,25,99,78,80,650000,2027,74,null,75,90,95,93,98,20,25,20,25
Gianni,Moscon,20/04/1994,red-bull-bora-hansgrohe,71,180,36,44,31,41,27,46,37,45,32,42,28,47,68,68,420000,2027,70,null,62,37,38,46,47,25,26,30,31
Giulio,Pellizzari,10/10/2002,red-bull-bora-hansgrohe,66,183,20,78,91,90,55,35,36,94,99,99,71,51,75,78,180000,2028,74,null,65,50,66,62,78,37,53,81,97
Laurence,Pithie,23/08/2002,red-bull-bora-hansgrohe,74,185,90,79,39,39,53,88,99,91,51,51,65,99,74,75,280000,2027,70,null,62,84,96,90,99,51,63,20,32
Primoz,Roglic,29/10/1989,red-bull-bora-hansgrohe,65,177,20,90,94,91,90,53,20,90,94,91,90,53,82,88,5000000,2027,86,null,95,80,80,85,85,86,86,96,96
Callum,Thornley,14/03/2003,red-bull-bora-hansgrohe,76,190,29,42,38,33,56,42,45,58,54,49,72,58,70,68,80000,2027,66,null,50,50,66,46,62,44,60,66,82
Jan,Tratnik,23/02/1990,red-bull-bora-hansgrohe,70,178,62,62,60,60,68,52,68,68,68,68,75,58,70,68,380000,2027,70,null,60,0,0,0,0,0,0,0,0
Luke,Tuckwell,15/06/2004,red-bull-bora-hansgrohe,66,182,20,41,35,34,20,26,36,57,51,50,36,42,68,65,70000,2027,64,null,45,31,47,40,56,20,36,20,36
Mick,Van Dijke,08/06/1999,red-bull-bora-hansgrohe,74,190,87,58,46,39,42,59,95,66,54,47,50,67,70,68,220000,2027,68,null,55,70,78,80,88,33,41,58,66
Tim,Van Dijke,08/06/1999,red-bull-bora-hansgrohe,74,189,91,66,45,36,46,73,99,74,53,44,54,81,70,68,220000,2027,68,null,55,82,90,88,96,40,48,56,64
Maxim,Van Gils,10/03/1999,red-bull-bora-hansgrohe,63,174,20,91,54,46,40,60,28,99,62,54,48,68,78,82,950000,2028,78,null,78,69,77,91,99,29,37,50,58
Danny,Van Poppel,26/07/1993,red-bull-bora-hansgrohe,80,192,55,48,35,40,55,88,62,55,42,48,62,92,70,68,450000,2027,68,null,72,0,0,0,0,0,0,0,0
Gianni,Vermeersch,19/11/1992,red-bull-bora-hansgrohe,68,173,91,90,46,39,28,53,92,91,47,40,29,54,70,68,380000,2027,68,null,62,86,87,91,92,28,29,20,21
Aleksandr,Vlasov,23/04/1996,red-bull-bora-hansgrohe,68,186,20,83,88,81,84,57,23,86,91,84,87,60,74,76,550000,2027,72,null,65,69,72,70,73,74,77,79,82
Frederik,Wandahl,12/09/2001,red-bull-bora-hansgrohe,61,178,20,68,36,39,20,40,32,80,48,51,32,52,72,70,150000,2027,68,null,55,41,53,75,87,20,32,20,32
Ben,Zwiehoff,22/04/1994,red-bull-bora-hansgrohe,61,182,20,62,57,57,33,45,21,63,58,58,34,46,70,68,320000,2027,68,null,58,38,39,46,47,29,30,37,38
