firstname,lastname,birthdate,team,weight,length,cob,hll,mtn,gc,itt,spr,maxcob,maxhll,maxmtn,maxgc,maxitt,maxspr,happyness,form,salary,contract,recovery,injury,media,flt,maxflt,or_,maxor,ttl,maxttl,tts,maxtts
Paul,Magnier,01/06/2005,soudal-quick-step,70,187,89,82,32,41,28,94,99,98,48,57,44,99,75,80,1010000,2028,73,null,72,90,99,93,99,20,36,37,53
Jasper,Stuyven,01/06/1993,soudal-quick-step,80,187,93,84,40,53,46,81,94,85,41,54,47,82,75,80,600000,2027,73,null,79,90,91,92,93,35,36,65,66
Tim,Merlier,01/06/1993,soudal-quick-step,76,188,88,62,24,37,27,97,89,63,25,38,28,98,75,80,500000,2027,73,null,68,90,91,91,92,27,28,20,21
Mikel,Landa,01/06/1990,soudal-quick-step,61,172,46,86,91,89,54,46,46,86,91,89,54,46,75,80,540000,2026,73,null,72,50,50,72,72,54,54,20,20
Ilan,Van Wilder,01/06/2001,soudal-quick-step,64,171,35,84,85,84,90,53,43,92,93,92,98,61,75,80,980000,2028,73,null,88,75,83,82,90,91,99,87,95
Laurenz,Rex,01/06/2000,soudal-quick-step,83,193,90,64,25,37,30,80,98,72,33,45,38,88,75,80,700000,2027,73,null,66,83,91,90,98,30,38,20,28
Filippo,Zana,01/06/2000,soudal-quick-step,66,184,29,88,77,73,42,44,37,96,85,81,50,52,75,80,740000,2027,73,null,69,54,62,87,95,41,49,40,48
Max,Schachmann,01/06/1994,soudal-quick-step,71,183,32,74,58,72,87,45,33,75,59,73,88,46,75,80,850000,2027,73,null,78,68,69,64,65,82,83,86,87
Valentin,Paret-Peintre,01/06/2001,soudal-quick-step,52,178,20,69,89,60,29,36,28,77,97,68,37,44,75,80,580000,2027,73,null,57,38,46,55,63,25,33,32,40
Junior,Lecerf,01/06/2003,soudal-quick-step,54,169,20,72,80,82,32,45,32,84,92,94,44,57,75,80,820000,2028,73,null,61,43,55,56,68,20,32,47,59
Ethan,Hayter,01/06/1999,soudal-quick-step,70,180,25,51,42,54,90,52,30,56,47,59,95,57,75,80,800000,2027,73,null,74,77,82,56,61,81,86,95,99
Yves,Lampaert,01/06/1992,soudal-quick-step,75,180,82,58,30,48,60,65,82,58,30,48,60,65,75,80,550000,2026,73,null,73,75,75,79,79,35,35,84,84
Mauri,Vansevenant,01/06/2000,soudal-quick-step,60,175,28,86,59,50,25,43,36,94,67,58,33,51,75,80,610000,2027,73,null,59,50,58,85,93,20,28,31,39
Casper,Pedersen,01/06/1996,soudal-quick-step,71,186,88,56,25,38,33,52,91,59,28,41,36,55,75,80,650000,2027,73,null,62,67,70,80,83,28,31,41,44
Alberto,Dainese,01/06/1999,soudal-quick-step,72,175,42,54,25,39,27,91,47,59,30,44,32,96,75,80,610000,2027,73,null,59,73,78,74,79,27,32,20,25
Gianmarco,Garofoli,01/06/2003,soudal-quick-step,62,180,32,79,66,50,44,59,44,91,78,62,56,71,75,80,890000,2028,73,null,65,52,64,77,89,41,53,38,50
Dylan,Van Baarle,01/06/1993,soudal-quick-step,74,189,81,61,41,41,46,33,82,62,42,42,47,34,75,80,470000,2026,73,null,64,62,63,72,73,44,45,42,43
Steff,Cras,01/06/1996,soudal-quick-step,67,183,20,72,65,67,47,44,23,75,68,70,50,47,75,80,650000,2027,73,null,62,47,50,57,60,45,48,44,47
Dries,Van Gestel,01/06/1995,soudal-quick-step,74,188,72,54,26,34,27,67,73,55,27,35,28,68,75,80,590000,2027,73,null,58,64,65,75,76,25,26,25,26
Pascal,Eenkhoorn,01/06/1997,soudal-quick-step,72,185,55,76,41,44,32,41,58,79,44,47,35,44,75,80,610000,2027,73,null,59,53,56,67,70,31,34,30,33
Louis,Vervaeke,01/06/1994,soudal-quick-step,68,181,30,64,59,43,28,40,31,65,60,44,29,41,75,80,530000,2026,73,null,53,40,41,57,58,23,24,35,36
Bert,Van Lerberghe,01/06/1993,soudal-quick-step,83,190,58,39,24,37,27,65,59,40,25,38,28,66,75,80,370000,2026,73,null,53,56,57,63,64,27,28,20,21
Fabio,Van den Bossche,01/06/2001,soudal-quick-step,65,175,50,53,27,40,23,59,58,61,35,48,31,67,75,80,530000,2027,73,null,53,54,62,64,72,20,28,28,36
Andrea,Raccagni Noviero,01/06/2004,soudal-quick-step,75,185,38,54,40,51,41,50,54,70,56,67,57,66,75,80,770000,2027,73,null,58,49,65,63,79,38,54,41,57
Jonathan,Vervenne,01/06/2004,soudal-quick-step,75,188,34,41,22,27,58,36,50,57,38,43,74,52,75,80,690000,2027,73,null,53,50,66,54,70,54,70,38,54
Pepijn,Reinderink,01/06/2003,soudal-quick-step,67,180,51,49,29,39,38,49,63,61,41,51,50,61,75,80,700000,2027,73,null,54,46,58,55,67,34,46,32,44
Gil,Gelders,01/06/2003,soudal-quick-step,66,179,39,51,32,38,27,42,51,63,44,50,39,54,75,80,620000,2028,73,null,49,42,54,59,71,26,38,20,32
Martin,Svrček,01/06/2003,soudal-quick-step,66,175,32,51,30,32,35,38,44,63,42,44,47,50,75,80,620000,2028,73,null,49,41,53,53,65,36,48,23,35
Warre,Vangheluwe,01/06/2002,soudal-quick-step,79,189,35,36,22,30,23,50,47,48,34,42,35,62,75,80,420000,2027,73,null,45,43,55,51,63,20,32,27,39
Ayco,Bastiaens,01/06/1997,soudal-quick-step,76,191,27,29,23,33,20,37,30,32,26,36,23,40,75,80,350000,2027,73,null,39,31,34,39,42,20,23,20,23
