firstname,lastname,birthdate,team,weight,length,cob,hll,mtn,gc,itt,spr,maxcob,maxhll,maxmtn,maxgc,maxitt,maxspr,happyness,form,salary,contract,recovery,injury,media,flt,maxflt,or_,maxor,ttl,maxttl,tts,maxtts
Ben,O'Connor,01/06/1996,team-jayco-alula,67,188,20,90,91,90,68,48,23,93,94,93,71,51,75,80,730000,2027,72,null,77,64,67,84,87,65,68,59,62
Mauro,Schmid,01/06/2000,team-jayco-alula,70,187,20,91,71,70,73,49,28,99,79,78,81,57,75,80,740000,2028,72,null,78,74,82,91,99,64,72,79,87
Michael,Matthews,01/06/1991,team-jayco-alula,72,178,81,91,39,33,46,64,81,91,39,33,46,64,75,80,460000,2027,72,null,70,78,78,94,94,42,42,41,41
Luke,Plapp,01/06/2001,team-jayco-alula,72,181,20,80,72,68,90,37,28,88,80,76,98,45,75,80,750000,2028,72,null,79,73,81,80,88,90,98,86,94
Dries,De Bondt,01/06/1992,team-jayco-alula,73,184,89,62,28,47,20,65,89,62,28,47,20,65,75,80,390000,2026,72,null,61,75,75,85,85,20,20,20,20
Andrea,Vendrame,01/06/1995,team-jayco-alula,60,168,40,87,67,48,34,64,41,88,68,49,35,65,75,80,600000,2027,72,null,65,59,60,83,84,28,29,45,46
Pascal,Ackermann,01/06/1994,team-jayco-alula,78,180,55,49,31,37,20,91,56,50,32,38,21,92,75,80,510000,2027,72,null,57,73,74,76,77,20,21,20,21
Paul,Double,01/06/1997,team-jayco-alula,56,171,20,68,63,74,20,35,23,71,66,77,23,38,75,80,440000,2027,72,null,50,36,39,50,53,20,23,20,23
Amaury,Capiot,01/06/1994,team-jayco-alula,69,186,50,53,29,39,27,82,51,54,30,40,28,83,75,80,500000,2027,72,null,56,65,66,73,74,27,28,20,21
Davide,De Pretto,01/06/2003,team-jayco-alula,58,172,20,80,30,38,20,50,32,92,42,50,32,62,75,80,580000,2027,72,null,51,53,65,80,92,20,32,20,32
Felix,Engelhardt,01/06/2001,team-jayco-alula,68,180,28,75,51,53,24,47,36,83,59,61,32,55,75,80,490000,2027,72,null,55,50,58,76,84,20,28,30,38
Alessandro,Covi,01/06/1999,team-jayco-alula,66,180,28,74,55,47,20,44,33,79,60,52,25,49,75,80,480000,2027,72,null,54,54,59,78,83,20,25,20,25
Anders,Foldager,01/06/2002,team-jayco-alula,69,181,31,70,36,49,20,68,43,82,48,61,32,80,75,80,470000,2027,72,null,53,52,64,67,79,20,32,20,32
Kelland,O'Brien,01/06/1999,team-jayco-alula,79,195,58,49,32,37,62,49,63,54,37,42,67,54,75,80,580000,2027,72,null,63,56,61,61,66,43,48,87,92
Robert,Donaldson,01/06/2003,team-jayco-alula,68,189,56,54,27,36,30,67,68,66,39,48,42,79,75,80,620000,2027,72,null,54,55,67,61,73,27,39,29,41
Luka,Mezgec,01/06/1989,team-jayco-alula,72,183,36,50,25,38,20,70,36,50,25,38,20,70,75,80,290000,2026,72,null,48,53,53,55,55,20,20,20,20
Alan,Hatherly,01/06/1996,team-jayco-alula,65,178,20,57,41,42,58,36,23,60,44,45,61,39,75,80,510000,2027,72,null,57,45,48,47,50,48,51,79,82
Jelte,Krijnsen,01/06/2002,team-jayco-alula,73,184,62,56,27,41,30,48,74,68,39,53,42,60,75,80,480000,2027,72,null,54,61,73,67,79,30,42,20,32
Finlay,Pickering,01/06/2003,team-jayco-alula,55,174,20,54,63,53,33,26,32,66,75,65,45,38,75,80,540000,2027,72,null,48,31,43,37,49,28,40,43,55
Jasha,Sütterlin,01/06/1993,team-jayco-alula,78,184,35,43,35,37,57,42,36,44,36,38,58,43,75,80,340000,2026,72,null,55,46,47,41,42,47,48,76,77
Dries,De Pooter,01/06/2003,team-jayco-alula,66,182,52,51,29,39,20,57,64,63,41,51,32,69,75,80,550000,2027,72,null,49,48,60,61,73,20,32,20,32
Koen,Bouwman,01/06/1994,team-jayco-alula,60,178,20,48,49,46,32,37,21,49,50,47,33,38,75,80,390000,2027,72,null,46,34,35,42,43,30,31,31,32
Asbjørn,Hellemose,01/06/1999,team-jayco-alula,65,192,28,54,40,45,20,33,33,59,45,50,25,38,75,80,370000,2027,72,null,44,34,39,49,54,20,25,20,25
Patrick,Gamper,01/06/1997,team-jayco-alula,80,194,37,42,33,39,45,46,40,45,36,42,48,49,75,80,420000,2027,72,null,49,43,46,51,54,43,46,20,23
Luke,Durbridge,01/06/1992,team-jayco-alula,78,187,42,39,29,40,42,37,42,39,29,40,42,37,75,80,300000,2026,72,null,50,40,40,46,46,37,37,50,50
Rudy,Porter,01/06/2001,team-jayco-alula,66,179,20,47,39,38,20,37,28,55,47,46,28,45,75,80,350000,2027,72,null,42,35,43,45,53,20,28,20,28
Filippo,Conca,01/06/1999,team-jayco-alula,80,191,20,48,30,50,20,31,25,53,35,55,25,36,75,80,310000,2027,72,null,39,34,39,20,25,20,25,20,25
Christopher,Juul-Jensen,01/06/1990,team-jayco-alula,73,183,26,40,35,43,27,35,26,40,35,43,27,35,75,80,240000,2026,72,null,42,31,31,42,42,27,27,20,20
Hamish,McKenzie,01/06/2005,team-jayco-alula,70,176,27,27,22,27,47,27,43,43,38,43,63,43,75,80,470000,2028,72,null,43,39,55,39,55,48,64,29,45
