firstname,lastname,birthdate,team,weight,length,cob,hll,mtn,gc,itt,spr,maxcob,maxhll,maxmtn,maxgc,maxitt,maxspr,happyness,form,salary,contract,recovery,injury,media,flt,maxflt,or_,maxor,ttl,maxttl,tts,maxtts
Pavel,Bittner,01/06/2003,team-picnic-postnl,73,184,62,65,31,50,29,92,74,77,43,62,41,99,75,80,710000,2028,71,null,63,79,91,85,97,29,41,30,42
Max,Poole,01/06/2003,team-picnic-postnl,68,185,20,65,81,74,60,38,32,77,93,86,72,50,75,80,680000,2028,71,null,61,47,59,26,38,47,59,79,91
John,Degenkolb,01/06/1989,team-picnic-postnl,82,180,81,55,24,35,24,66,81,55,24,35,24,66,75,80,320000,2026,71,null,55,65,65,78,78,20,20,29,29
Nils,Eekhoff,01/06/1998,team-picnic-postnl,75,192,69,51,24,34,37,79,74,56,29,39,42,84,75,80,530000,2027,71,null,61,71,76,84,89,25,30,57,62
Frank,Van den Broek,01/06/2001,team-picnic-postnl,70,178,30,82,64,56,37,53,38,90,72,64,45,61,75,80,510000,2027,71,null,59,50,58,67,75,29,37,51,59
Warren,Barguil,01/06/1992,team-picnic-postnl,61,183,20,78,72,66,34,42,20,78,72,66,34,42,75,80,340000,2026,71,null,57,48,48,72,72,32,32,32,32
Casper,Van Uden,01/06/2002,team-picnic-postnl,68,181,38,47,28,38,24,90,50,59,40,50,36,99,75,80,450000,2027,71,null,53,69,81,67,79,20,32,29,41
Fabio,Jakobsen,01/06/1997,team-picnic-postnl,78,181,47,38,21,27,20,77,50,41,24,30,23,80,75,80,380000,2027,71,null,46,60,63,54,57,20,23,20,23
Niklas,Märkl,01/06/1999,team-picnic-postnl,70,185,36,42,29,39,27,72,41,47,34,44,32,77,75,80,380000,2027,71,null,46,47,52,50,55,27,32,20,25
Chris,Hamilton,01/06/1996,team-picnic-postnl,70,178,28,65,50,54,26,41,31,68,53,57,29,44,75,80,400000,2027,71,null,48,40,43,56,59,25,28,20,23
Bjorn,Koerdt,01/06/2005,team-picnic-postnl,68,181,28,65,38,43,20,50,44,81,54,59,36,66,75,80,490000,2027,71,null,46,41,57,62,78,20,36,20,36
Gijs,Leemreize,01/06/2000,team-picnic-postnl,66,190,20,57,60,46,27,30,28,65,68,54,35,38,75,80,370000,2027,71,null,45,34,42,44,52,20,28,36,44
Sean,Flynn,01/06/2000,team-picnic-postnl,67,177,47,52,30,45,27,58,55,60,38,53,35,66,75,80,400000,2027,71,null,48,45,53,54,62,27,35,20,28
James,Knox,01/06/1996,team-picnic-postnl,58,173,20,47,48,57,27,28,23,50,51,60,30,31,75,80,330000,2027,71,null,41,29,32,37,40,26,29,20,23
Bram,Welten,01/06/1998,team-picnic-postnl,81,188,40,34,23,27,20,63,45,39,28,32,25,68,75,80,340000,2027,71,null,42,44,49,49,54,20,25,20,25
Frits,Biesterbos,01/06/2002,team-picnic-postnl,68,181,40,40,27,29,39,51,52,52,39,41,51,63,75,80,390000,2027,71,null,47,46,58,57,69,20,32,48,60
Matthew,Dinham,01/06/2001,team-picnic-postnl,63,175,20,56,33,38,23,39,28,64,41,46,31,47,75,80,340000,2027,71,null,42,36,44,54,62,23,31,20,28
Timo,De Jong,01/06/2000,team-picnic-postnl,72,191,29,42,22,36,20,57,37,50,30,44,28,65,75,80,340000,2027,71,null,42,50,58,49,57,20,28,20,28
Juan,Martinez,01/06/2005,team-picnic-postnl,68,172,48,51,30,25,44,46,64,67,46,41,60,62,75,80,420000,2027,71,null,41,30,46,20,36,20,36,20,36
Dillon,Corkery,01/06/1999,team-picnic-postnl,68,181,24,41,23,25,20,53,29,46,28,30,25,58,75,80,330000,2027,71,null,41,46,51,59,64,20,25,20,25
Julius,Julius van den Berg,01/06/1997,team-picnic-postnl,78,190,48,35,25,33,27,45,51,38,28,36,30,48,75,80,350000,2027,71,null,43,40,43,47,50,23,26,35,38
Mattia,Gaffuri,01/06/2000,team-picnic-postnl,67,184,20,49,40,32,20,25,28,57,48,40,28,33,75,80,300000,2027,71,null,38,32,40,51,59,20,28,20,28
Timo,Roosen,01/06/1993,team-picnic-postnl,78,193,45,33,23,33,20,40,46,34,24,34,21,41,75,80,220000,2026,71,null,40,39,40,47,48,20,21,27,28
Tim,Naberman,01/06/2000,team-picnic-postnl,70,187,34,31,24,38,20,44,42,39,32,46,28,52,75,80,320000,2027,71,null,40,36,44,45,53,20,28,32,40
Henri-François,Haquin,01/06/2003,team-picnic-postnl,74,185,31,41,23,29,20,40,43,53,35,41,32,52,75,80,400000,2027,71,null,39,38,50,51,63,20,32,20,32
Alexy,Faure-Prost,01/06/2005,team-picnic-postnl,67,185,20,40,35,34,20,33,36,56,51,50,36,49,75,80,370000,2028,71,null,37,29,45,40,56,20,36,20,36
Robbe,Dhondt,01/06/2005,team-picnic-postnl,68,176,26,34,25,28,29,32,42,50,41,44,45,48,75,80,370000,2028,71,null,37,30,46,39,55,27,43,24,40
Oliver,Peace,01/06/2006,team-picnic-postnl,64,186,24,36,29,31,20,30,44,56,49,51,40,50,75,80,350000,2028,71,null,35,31,51,35,55,20,40,20,40
