firstname,lastname,birthdate,team,weight,length,cob,hll,mtn,gc,itt,spr,maxcob,maxhll,maxmtn,maxgc,maxitt,maxspr,happyness,form,salary,contract,recovery,injury,media,flt,maxflt,or_,maxor,ttl,maxttl,tts,maxtts
Jonas,Vingegaard,01/06/1997,team-visma-lease-a-bike,58,175,20,91,99,97,90,63,23,94,99,99,93,66,75,80,1090000,2027,75,null,88,76,79,20,23,85,88,91,94
Wout,Van Aert,01/06/1995,team-visma-lease-a-bike,78,190,96,93,73,48,88,91,97,94,74,49,89,92,75,80,1270000,2026,75,null,99,94,95,94,95,87,88,86,87
Matteo,Jorgenson,01/06/2000,team-visma-lease-a-bike,69,190,92,92,92,91,87,68,99,99,99,99,95,76,75,80,1300000,2028,75,null,99,90,98,92,99,80,88,88,96
Sepp,Kuss,01/06/1995,team-visma-lease-a-bike,61,182,27,77,92,90,45,44,28,78,93,91,46,45,75,80,810000,2027,75,null,69,41,42,49,50,39,40,41,42
Christophe,Laporte,01/06/1993,team-visma-lease-a-bike,76,191,90,81,34,51,47,81,91,82,35,52,48,82,75,80,690000,2027,75,null,81,89,90,91,92,28,29,75,76
Bruno,Armirail,01/06/1995,team-visma-lease-a-bike,72,190,20,55,81,68,91,42,21,56,82,69,92,43,75,80,1020000,2027,75,null,83,79,80,64,65,91,92,92,93
Matthew,Brennan,01/06/2006,team-visma-lease-a-bike,68,177,68,80,46,52,56,89,88,99,66,72,76,99,75,80,1300000,2028,75,null,82,81,99,90,99,44,64,71,91
Ben,Tulett,01/06/2002,team-visma-lease-a-bike,56,169,37,90,75,64,36,45,49,99,87,76,48,57,75,80,840000,2027,75,null,71,52,64,88,99,29,41,44,56
Davide,Piganzoli,01/06/2003,team-visma-lease-a-bike,61,174,20,87,70,74,55,43,32,99,82,86,67,55,75,80,1170000,2028,75,null,75,58,70,85,97,45,57,63,75
Wilco,Kelderman,01/06/1992,team-visma-lease-a-bike,65,185,20,78,83,74,56,41,20,78,83,74,56,41,75,80,590000,2026,75,null,72,50,50,60,60,36,36,80,80
Axel,Zingle,01/06/1999,team-visma-lease-a-bike,67,173,61,78,37,48,31,85,66,83,42,53,36,90,75,80,820000,2027,75,null,70,69,74,85,90,28,33,36,41
Victor,Campenaerts,01/06/1992,team-visma-lease-a-bike,68,173,49,78,65,50,82,47,49,78,65,50,82,47,75,80,650000,2027,75,null,77,66,66,61,61,82,82,46,46
Timo,Kielich,01/06/2000,team-visma-lease-a-bike,73,185,82,64,34,36,20,65,90,72,42,44,28,73,75,80,730000,2027,75,null,64,70,78,85,93,20,28,20,28
Louis,Barré,01/06/2001,team-visma-lease-a-bike,68,184,28,89,39,46,28,43,36,97,47,54,36,51,75,80,700000,2027,75,null,62,61,69,89,97,25,33,28,36
Edoardo,Affini,01/06/1997,team-visma-lease-a-bike,80,190,49,40,35,39,91,51,52,43,38,42,94,54,75,80,940000,2027,75,null,78,78,81,64,67,91,94,92,95
Jørgen,Nordhagen,01/06/2005,team-visma-lease-a-bike,59,177,28,73,61,66,51,34,44,89,77,82,67,50,75,80,990000,2028,75,null,66,46,62,64,80,43,59,53,69
Per Strand,Hagenes,01/06/2004,team-visma-lease-a-bike,78,186,70,63,34,51,38,46,86,79,50,67,54,62,75,80,990000,2027,75,null,66,57,73,75,91,23,39,58,74
Filippo,Fiorelli,01/06/1995,team-visma-lease-a-bike,68,182,32,67,44,44,21,68,33,68,45,45,22,69,75,80,660000,2027,75,null,59,55,56,69,70,21,22,21,22
Bart,Lemmen,01/06/1996,team-visma-lease-a-bike,70,180,20,68,58,56,40,40,23,71,61,59,43,43,75,80,700000,2027,75,null,62,44,47,60,63,32,35,57,60
Owain,Doull,01/06/1994,team-visma-lease-a-bike,71,181,67,51,34,38,30,59,68,52,35,39,31,60,75,80,690000,2027,75,null,61,54,55,68,69,23,24,42,43
Tijmen,Graat,01/06/2003,team-visma-lease-a-bike,68,176,29,64,55,51,23,37,41,76,67,63,35,49,75,80,780000,2027,75,null,55,38,50,59,71,20,32,26,38
Steven,Kruijswijk,01/06/1988,team-visma-lease-a-bike,63,178,20,42,55,50,20,25,20,42,55,50,20,25,75,80,320000,2026,75,null,46,28,28,31,31,20,20,20,20
Niklas,Behrens,01/06/2004,team-visma-lease-a-bike,80,195,31,46,26,27,42,53,47,62,42,43,58,69,75,80,760000,2027,75,null,54,50,66,55,71,41,57,20,36
Anton,Schiffer,01/06/2000,team-visma-lease-a-bike,62,178,20,45,43,50,28,34,28,53,51,58,36,42,75,80,520000,2027,75,null,50,35,43,44,52,20,28,39,47
Menno,Huising,01/06/2005,team-visma-lease-a-bike,68,185,28,49,34,37,28,42,44,65,50,53,44,58,75,80,720000,2028,75,null,52,39,55,54,70,25,41,34,50
Loe,Van Belle,01/06/2002,team-visma-lease-a-bike,68,184,36,38,23,27,29,46,48,50,35,39,41,58,75,80,520000,2027,75,null,50,42,54,50,62,26,38,36,48
Pietro,Mattio,01/06/2005,team-visma-lease-a-bike,70,184,39,46,30,33,20,37,55,62,46,49,36,53,75,80,640000,2027,75,null,48,39,55,48,64,20,36,20,36
Tim,Rex,01/06/2005,team-visma-lease-a-bike,70,190,43,35,31,46,29,20,59,51,47,62,45,36,75,80,560000,2028,75,null,44,27,43,20,36,20,36,20,36
