firstname,lastname,birthdate,team,weight,length,cob,hll,mtn,gc,itt,spr,maxcob,maxhll,maxmtn,maxgc,maxitt,maxspr,happyness,form,salary,contract,recovery,injury,media,flt,maxflt,or_,maxor,ttl,maxttl,tts,maxtts
Tadej,Pogačar,01/06/1999,uae-team-emirates-xrg,66,176,96,99,99,96,93,79,99,99,99,99,98,84,75,80,1390000,2027,75,null,99,96,99,99,99,93,98,88,93
Isaac,Del Toro,01/06/2004,uae-team-emirates-xrg,64,180,55,97,93,91,89,68,71,99,99,99,99,84,75,80,1650000,2028,75,null,99,87,99,97,99,88,99,90,99
João,Almeida,01/06/1999,uae-team-emirates-xrg,63,178,20,90,96,94,91,49,25,95,99,99,96,54,75,80,1110000,2027,75,null,89,79,84,49,54,87,92,93,98
Adam,Yates,01/06/1993,uae-team-emirates-xrg,58,173,20,91,94,90,66,50,21,92,95,91,67,51,75,80,720000,2027,75,null,84,63,64,91,92,58,59,72,73
Jay,Vine,01/06/1996,uae-team-emirates-xrg,69,184,20,83,90,81,94,43,23,86,93,84,97,46,75,80,1170000,2027,75,null,93,90,93,89,92,94,97,98,99
Brandon,McNulty,01/06/1999,uae-team-emirates-xrg,69,183,36,92,85,88,91,60,41,97,90,93,96,65,75,80,1210000,2027,75,null,96,87,92,92,97,90,95,96,99
Florian,Vermeersch,01/06/1999,uae-team-emirates-xrg,85,193,93,85,38,53,77,63,98,90,43,58,82,68,75,80,1110000,2027,75,null,89,90,95,91,96,65,70,90,95
Tim,Wellens,01/06/1992,uae-team-emirates-xrg,71,182,91,90,61,76,66,54,91,90,61,76,66,54,75,80,770000,2026,75,null,89,85,85,90,90,45,45,88,88
Jhonatan,Narváez,01/06/1997,uae-team-emirates-xrg,65,174,72,90,80,85,28,65,75,93,83,88,31,68,75,80,930000,2027,75,null,77,68,71,85,88,27,30,26,29
Jan,Christen,01/06/2005,uae-team-emirates-xrg,60,183,20,93,72,70,62,54,36,99,88,86,78,70,75,80,1280000,2028,75,null,81,73,89,92,99,44,60,87,99
Pavel,Sivakov,01/06/1998,uae-team-emirates-xrg,70,188,20,91,84,72,47,41,25,96,89,77,52,46,75,80,880000,2027,75,null,74,60,65,91,96,43,48,47,52
António,Morgado,01/06/2004,uae-team-emirates-xrg,71,180,86,89,44,38,51,74,99,99,60,54,67,90,75,80,1220000,2028,75,null,78,80,96,92,99,47,63,35,51
Marc,Soler,01/06/1994,uae-team-emirates-xrg,68,186,29,72,91,78,51,39,30,73,92,79,52,40,75,80,810000,2027,75,null,69,50,51,46,47,44,45,48,49
Felix,Großschartner,01/06/1994,uae-team-emirates-xrg,64,184,20,84,83,71,78,44,21,85,84,72,79,45,75,80,1020000,2027,75,null,83,66,67,81,82,63,64,90,91
Nils,Politt,01/06/1994,uae-team-emirates-xrg,80,192,91,73,48,46,64,63,92,74,49,47,65,64,75,80,970000,2027,75,null,80,85,86,90,91,63,64,35,36
Mikkel,Bjerg,01/06/1999,uae-team-emirates-xrg,78,191,89,58,36,43,87,54,94,63,41,48,92,59,75,80,1030000,2027,75,null,84,84,89,87,92,89,94,69,74
Kevin,Vermaerke,01/06/2001,uae-team-emirates-xrg,67,181,32,84,74,65,25,50,40,92,82,73,33,58,75,80,750000,2027,75,null,65,51,59,82,90,24,32,20,28
Benoît,Cosnefroy,01/06/1996,uae-team-emirates-xrg,65,179,45,86,39,49,26,48,48,89,42,52,29,51,75,80,750000,2027,75,null,65,64,67,89,92,20,23,35,38
Sebastián,Molano,01/06/1995,uae-team-emirates-xrg,72,180,38,57,23,32,20,90,39,58,24,33,21,91,75,80,700000,2027,75,null,62,87,88,85,86,20,21,20,21
Filippo,Baroncini,01/06/2001,uae-team-emirates-xrg,74,188,45,73,38,49,72,58,53,81,46,57,80,66,75,80,930000,2027,75,null,77,66,74,77,85,60,68,85,93
Ivo,Ivo Oliveira,01/06/1997,uae-team-emirates-xrg,68,185,32,60,36,39,67,64,35,63,39,42,70,67,75,80,820000,2027,75,null,70,66,69,59,62,45,48,90,93
Igor,Arrieta,01/06/2003,uae-team-emirates-xrg,64,182,35,80,59,53,27,36,47,92,71,65,39,48,75,80,890000,2027,75,null,61,51,63,76,88,25,37,26,38
Rui,Rui Oliveira,01/06/1997,uae-team-emirates-xrg,66,183,48,63,26,34,20,79,51,66,29,37,23,82,75,80,640000,2027,75,null,58,57,60,72,75,20,23,20,23
Rune,Herregodts,01/06/1999,uae-team-emirates-xrg,70,181,26,48,31,42,65,34,31,53,36,47,70,39,75,80,720000,2027,75,null,63,51,56,51,56,49,54,87,92
Pablo,Torres,01/06/2006,uae-team-emirates-xrg,68,174,20,55,55,47,38,34,40,75,75,67,58,54,75,80,790000,2028,75,null,56,40,60,53,73,34,54,40,60
Julius,Johansen,01/06/2000,uae-team-emirates-xrg,77,188,47,50,28,45,45,36,55,58,36,53,53,44,75,80,660000,2027,75,null,59,51,59,53,61,43,51,49,57
Adrià,Pericas,01/06/2007,uae-team-emirates-xrg,68,182,29,54,44,39,40,26,49,74,64,59,60,46,75,80,780000,2028,75,null,55,43,63,54,74,36,56,44,64
Vegard,Stake Laengen,01/06/1989,uae-team-emirates-xrg,79,195,37,40,33,34,25,35,37,40,33,34,25,35,75,80,340000,2026,75,null,48,35,35,47,47,24,24,20,20
Domen,Novak,01/06/1996,uae-team-emirates-xrg,70,181,20,39,38,37,23,26,23,42,41,40,26,29,75,80,430000,2027,75,null,44,29,32,40,43,20,23,25,28
