firstname,lastname,birthdate,team,weight,length,cob,hll,mtn,gc,itt,spr,maxcob,maxhll,maxmtn,maxgc,maxitt,maxspr,happyness,form,salary,contract,recovery,injury,media,flt,maxflt,or_,maxor,ttl,maxttl,tts,maxtts
Tobias,Halland Johannessen,01/06/2000,uno-x-mobility,62,176,52,90,90,90,42,58,60,98,98,98,50,66,75,80,580000,2027,71,null,73,62,70,87,95,36,44,46,54
Soren,Waerenskjold,01/06/2000,uno-x-mobility,92,195,86,62,32,58,82,91,94,70,40,66,90,99,75,80,670000,2027,71,null,83,87,95,90,98,82,90,88,96
Jonas,Abrahamsen,01/06/1996,uno-x-mobility,78,183,90,90,48,40,29,71,93,93,51,43,32,74,75,80,530000,2027,71,null,67,86,89,91,94,28,31,26,29
Rasmus,Tiller,01/06/1997,uno-x-mobility,84,187,90,80,31,37,31,63,93,83,34,40,34,66,75,80,510000,2027,71,null,65,84,87,90,93,26,29,41,44
Markus,Hoelgaard,01/06/1995,uno-x-mobility,74,188,90,84,31,39,20,45,91,85,32,40,21,46,75,80,450000,2027,71,null,59,74,75,90,91,20,21,20,21
Andreas,Leknessund,01/06/2000,uno-x-mobility,72,186,20,80,55,63,82,42,28,88,63,71,90,50,75,80,540000,2027,71,null,68,63,71,81,89,86,94,31,39
Magnus,Cort,01/06/1993,uno-x-mobility,68,184,53,85,51,53,39,62,54,86,52,54,40,63,75,80,350000,2027,71,null,65,61,62,90,91,31,32,52,53
Johannes,Kulset,01/06/2005,uno-x-mobility,58,175,20,84,61,57,28,42,36,99,77,73,44,58,75,80,540000,2027,71,null,55,51,67,85,99,27,43,22,38
Torstein,Traeen,01/06/1996,uno-x-mobility,63,181,20,57,82,78,33,36,23,60,85,81,36,39,75,80,400000,2027,71,null,53,36,39,47,50,29,32,36,39
Stian,Fredheim,01/06/2004,uno-x-mobility,72,184,47,56,23,34,20,87,63,72,39,50,36,99,75,80,520000,2027,71,null,53,65,81,81,97,20,36,20,36
Erlend,Blikra,01/06/1997,uno-x-mobility,75,186,33,57,22,28,20,90,36,60,25,31,23,93,75,80,390000,2027,71,null,52,76,79,83,86,20,23,20,23
Fredrik,Dversnes,01/06/1998,uno-x-mobility,68,182,55,84,36,49,41,51,60,89,41,54,46,56,75,80,480000,2027,71,null,62,62,67,87,92,37,42,42,47
Andreas,Kron,01/06/1999,uno-x-mobility,63,177,20,85,53,51,20,41,25,90,58,56,25,46,75,80,390000,2027,71,null,52,49,54,81,86,20,25,20,25
Anthon,Charmig,01/06/1999,uno-x-mobility,66,182,20,83,47,56,24,53,25,88,52,61,29,58,75,80,410000,2027,71,null,54,49,54,82,87,22,27,26,31
Erik,Resell,01/06/1997,uno-x-mobility,68,192,74,50,23,29,20,54,77,53,26,32,23,57,75,80,370000,2027,71,null,50,64,67,75,78,20,23,20,23
Sakarias,Loland,01/06/2002,uno-x-mobility,68,180,34,74,30,35,20,60,46,86,42,47,32,72,75,80,370000,2027,71,null,50,54,66,77,89,20,32,20,32
Adne,Holter,01/06/2001,uno-x-mobility,68,184,28,71,39,48,26,35,36,79,47,56,34,43,75,80,360000,2027,71,null,48,44,52,68,76,25,33,20,28
Alexander,Kamp,01/06/1994,uno-x-mobility,74,186,20,69,28,40,26,32,21,70,29,41,27,33,75,80,330000,2026,71,null,45,41,42,70,71,24,25,26,27
Carl-Frederik,Bévort,01/06/2004,uno-x-mobility,68,184,33,41,23,33,57,64,49,57,39,49,73,80,75,80,540000,2027,71,null,55,55,71,61,77,58,74,50,66
William,Blume Levy,01/06/2001,uno-x-mobility,68,192,55,56,26,31,20,53,63,64,34,39,28,61,75,80,350000,2027,71,null,47,48,56,66,74,20,28,20,28
Sven Erik,Bystrom,01/06/1992,uno-x-mobility,73,188,59,51,26,39,37,45,59,51,26,39,37,45,75,80,260000,2026,71,null,50,47,47,58,58,34,34,32,32
Anders,Skaarseth,01/06/1996,uno-x-mobility,68,186,50,56,34,32,20,40,53,59,37,35,23,43,75,80,340000,2027,71,null,46,45,48,63,66,20,23,20,23
Martin,Tjotta,01/06/2002,uno-x-mobility,68,182,28,57,42,46,20,33,40,69,54,58,32,45,75,80,310000,2027,71,null,43,35,47,53,65,20,32,20,32
Henrik,Pedersen,01/06/2005,uno-x-mobility,68,181,37,43,23,28,37,54,53,59,39,44,53,70,75,80,440000,2027,71,null,46,50,66,59,75,38,54,20,36
Martin,Urianstad Bugge,01/06/1999,uno-x-mobility,61,175,37,49,30,33,20,46,42,54,35,38,25,51,75,80,310000,2027,71,null,43,40,45,56,61,20,25,20,25
Simon,Dalby,01/06/2003,uno-x-mobility,68,182,24,49,43,38,20,29,36,61,55,50,32,41,75,80,370000,2027,71,null,40,32,44,48,60,20,32,20,32
Jonas,Hvideberg,01/06/1999,uno-x-mobility,68,185,33,38,28,29,20,43,38,43,33,34,25,48,75,80,280000,2027,71,null,40,38,43,51,56,20,25,20,25
Tobias,Svarre,01/06/2005,uno-x-mobility,68,178,20,43,29,29,28,24,36,59,45,45,44,40,75,80,330000,2027,71,null,37,30,46,41,57,27,43,23,39
Storm,Ingebrigtsen,01/06/2005,uno-x-mobility,68,194,28,37,30,32,20,34,44,53,46,48,36,50,75,80,350000,2027,71,null,38,39,55,41,57,20,36,20,36
Anders,Anders Halland Johannessen,01/06/2000,uno-x-mobility,68,176,35,79,66,59,24,33,43,87,74,67,32,41,75,80,400000,2027,71,null,53,42,50,68,76,20,28,26,34
