firstname,lastname,birthdate,team,weight,length,cob,hll,mtn,gc,itt,spr,maxcob,maxhll,maxmtn,maxgc,maxitt,maxspr,happyness,form,salary,contract,recovery,injury,media,flt,maxflt,or_,maxor,ttl,maxttl,tts,maxtts
Mike,Teunissen,01/06/1993,xds-astana-team,73,184,91,84,36,51,26,89,92,85,37,52,27,90,75,80,420000,2026,72,null,71,88,89,91,92,20,21,34,35
Harold,Tejada,01/06/1998,xds-astana-team,63,180,20,86,87,84,74,53,25,91,92,89,79,58,75,80,670000,2027,72,null,77,62,67,60,65,65,70,82,87
Lorenzo,Fortunato,01/06/1997,xds-astana-team,57,170,20,82,89,82,30,33,23,85,92,85,33,36,75,80,500000,2027,72,null,60,47,50,66,69,29,32,30,33
Cristián,Rodríguez,01/06/1995,xds-astana-team,59,178,20,77,89,81,48,38,21,78,90,82,49,39,75,80,570000,2027,72,null,67,48,49,70,71,37,38,67,68
Christian,Scaroni,01/06/1998,xds-astana-team,63,175,20,91,84,59,33,50,25,96,89,64,38,55,75,80,570000,2027,72,null,67,72,77,93,98,28,33,46,51
Diego,Ulissi,01/06/1990,xds-astana-team,63,175,20,90,77,71,43,51,20,90,77,71,43,51,75,80,420000,2026,72,null,70,67,67,90,90,34,34,61,61
Clément,Champoussin,01/06/1999,xds-astana-team,61,180,20,90,73,71,33,48,25,95,78,76,38,53,75,80,550000,2028,72,null,65,59,64,89,94,28,33,40,45
Alberto,Bettiol,01/06/1994,xds-astana-team,69,180,67,90,50,61,76,53,68,91,51,62,77,54,75,80,700000,2027,72,null,80,72,73,90,91,63,64,85,86
Davide,Ballerini,01/06/1995,xds-astana-team,71,183,84,80,27,42,25,83,85,81,28,43,26,84,75,80,540000,2027,72,null,64,76,77,82,83,25,26,20,21
Simone,Velasco,01/06/1996,xds-astana-team,59,170,29,91,59,59,37,56,32,94,62,62,40,59,75,80,550000,2027,72,null,65,67,70,91,94,35,38,30,33
Yevgeniy,Fedorov,01/06/2000,xds-astana-team,80,193,85,61,29,33,59,79,93,69,37,41,67,87,75,80,590000,2027,72,null,69,75,83,86,94,63,71,20,28
Max,Kanter,01/06/1998,xds-astana-team,68,176,39,59,25,34,20,91,44,64,30,39,25,96,75,80,470000,2027,72,null,57,79,84,88,93,20,25,20,25
Sergio,Higuita,01/06/1998,xds-astana-team,57,166,20,79,78,79,27,43,25,84,83,84,32,48,75,80,490000,2027,72,null,59,45,50,69,74,23,28,33,38
Matteo,Malucelli,01/06/1994,xds-astana-team,68,171,25,47,26,45,28,91,26,48,27,46,29,92,75,80,440000,2026,72,null,54,73,74,59,60,20,21,30,31
Harold Martin,Harold Martin López,01/06/2001,xds-astana-team,55,160,20,62,79,75,20,37,28,70,87,83,28,45,75,80,400000,2027,72,null,50,31,39,45,53,20,28,20,28
Thomas,Silva,01/06/2002,xds-astana-team,64,175,20,81,58,52,20,64,32,93,70,64,32,76,75,80,470000,2027,72,null,57,55,67,83,95,20,32,20,32
Arjen,Livyns,01/06/1995,xds-astana-team,58,170,82,69,33,37,31,54,83,70,34,38,32,55,75,80,500000,2027,72,null,60,65,66,82,83,20,21,36,37
Aaron,Gate,01/06/1991,xds-astana-team,71,181,52,69,39,54,43,74,52,69,39,54,43,74,75,80,390000,2026,72,null,66,64,64,74,74,36,36,57,57
Nicola,Conci,01/06/1997,xds-astana-team,68,185,20,74,56,51,20,41,23,77,59,54,23,44,75,80,410000,2027,72,null,51,43,46,65,68,20,23,20,23
Henok,Mulubrhan,01/06/2000,xds-astana-team,60,176,20,62,67,59,20,62,28,70,75,67,28,70,75,80,450000,2027,72,null,55,48,56,63,71,20,28,29,37
Gleb,Syritsa,01/06/2001,xds-astana-team,85,190,45,38,22,33,40,78,53,46,30,41,48,86,75,80,450000,2027,72,null,55,56,64,60,68,37,45,47,55
Nicolas,Vinokurov,01/06/2003,xds-astana-team,65,184,20,50,55,48,23,54,32,62,67,60,35,66,75,80,480000,2027,72,null,47,41,53,44,56,23,35,20,32
Marco,Schrettl,01/06/2004,xds-astana-team,63,181,20,59,33,33,20,31,36,75,49,49,36,47,75,80,420000,2027,72,null,43,41,57,58,74,20,36,20,36
Alessandro,Romele,01/06/2004,xds-astana-team,71,186,48,46,28,37,26,51,64,62,44,53,42,67,75,80,500000,2027,72,null,49,52,68,61,77,26,42,20,36
Davide,Toneatti,01/06/2002,xds-astana-team,65,180,51,50,38,35,20,34,63,62,50,47,32,46,75,80,370000,2027,72,null,47,41,53,55,67,20,32,34,46
Lev,Gonov,01/06/2000,xds-astana-team,76,186,24,34,24,33,39,53,32,42,32,41,47,61,75,80,370000,2027,72,null,47,43,51,40,48,32,40,49,57
Florian,Kajamini,01/06/2003,xds-astana-team,67,174,25,43,43,39,20,38,37,55,55,51,32,50,75,80,410000,2027,72,null,42,33,45,43,55,20,32,20,32
Darren,Van Bekkum,01/06/2003,xds-astana-team,62,176,20,41,39,40,38,34,32,53,51,52,50,46,75,80,390000,2027,72,null,40,31,43,20,32,20,32,20,32
Anton,Kuzmin,01/06/1997,xds-astana-team,66,186,20,41,32,36,27,29,23,44,35,39,30,32,75,80,310000,2027,72,null,41,32,35,42,45,26,29,28,31
Haoyu,Su,01/06/2001,xds-astana-team,64,179,20,28,23,29,41,24,28,36,31,37,49,32,75,80,290000,2027,72,null,39,33,41,34,42,44,52,20,28
